Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1e.srt,14,15,"00:01:10,571 --> 00:01:11,864","00:01:11,947 --> 00:01:15,325",14,"00:01:10,571 --> 00:01:15,325",but I just bet it'll make you feel right as rain.,"Now, I know you're sleepy, but I just bet it'll make you feel right as rain."
1e.srt,41,42,"00:03:24,872 --> 00:03:25,873","00:03:26,957 --> 00:03:28,417",40,"00:03:24,872 --> 00:03:28,417",It's okay.,I don't… It's okay.
1e.srt,56,57,"00:04:04,077 --> 00:04:05,370","00:04:05,454 --> 00:04:09,416",54,"00:04:04,077 --> 00:04:09,416",what is or was the color of your mother's eyes?,"To the best of your memory, what is or was the color of your mother's eyes?"
1e.srt,90,91,"00:11:26,436 --> 00:11:28,647","00:11:28,730 --> 00:11:31,358",87,"00:11:26,436 --> 00:11:31,358",would get you sicker than just me breathing on you.,I feel like ripping out my germ-ridden larynx would get you sicker than just me breathing on you.
1e.srt,93,94,"00:11:35,028 --> 00:11:37,841","00:11:37,865 --> 00:11:40,701",89,"00:11:35,028 --> 00:11:40,701","from wrapping the Tumwater file, and he needs to process it.","[colleague] Petey better not be out for the day, 'cause I'm about zero seconds from wrapping the Tumwater file, and he needs to process it."
1e.srt,108,110,"00:12:17,529 --> 00:12:19,072","00:12:21,241 --> 00:12:22,951",103,"00:12:17,529 --> 00:12:22,951",I might get passed over for refiner of the quarter,"Yeah, and if he doesn't see me finish, I might get passed over for refiner of the quarter and miss out on my goddamn waffle party."
1e.srt,112,113,"00:12:26,163 --> 00:12:28,081","00:12:28,165 --> 00:12:29,965",105,"00:12:26,163 --> 00:12:29,965",they'd shake our hand and fill up the creamer.,"When we'd process a file in the old days, they'd shake our hand and fill up the creamer."
1e.srt,116,117,"00:12:35,380 --> 00:12:37,108","00:12:37,132 --> 00:12:38,759",108,"00:12:35,380 --> 00:12:38,759","[Irving] Yes, very fucked.","- [Dylan] That's fucked, dude. - [Mark laughs] [Irving] Yes, very fucked."
1e.srt,119,120,"00:12:43,472 --> 00:12:46,183","00:12:46,767 --> 00:12:49,269",110,"00:12:43,472 --> 00:12:49,269","Good morning, Macrodata Refinement.","- [Dylan] Oh, uh-oh. Irv's got claws today. - [knocks] Good morning, Macrodata Refinement."
1e.srt,127,128,"00:13:32,896 --> 00:13:33,897","00:13:33,981 --> 00:13:36,817",117,"00:13:32,896 --> 00:13:36,817",but I know a compliment about the office would just make her day.,"She'd never say so, but I know a compliment about the office would just make her day."
1e.srt,144,145,"00:14:41,298 --> 00:14:44,468","00:14:44,551 --> 00:14:47,679",133,"00:14:41,298 --> 00:14:47,679","I've subbed for Petey before, so it shouldn't be that big a thing.","Okay. Uh, well… I mean, I've subbed for Petey before, so it shouldn't be that big a thing."
1e.srt,151,152,"00:15:10,160 --> 00:15:11,286","00:15:11,370 --> 00:15:14,331",139,"00:15:10,160 --> 00:15:14,331","but unfortunately, non-disclosure policy forbids.","We'd love to tell you, but unfortunately, non-disclosure policy forbids."
1e.srt,156,157,"00:15:29,888 --> 00:15:34,142","00:15:34,226 --> 00:15:37,896",143,"00:15:29,888 --> 00:15:37,896",in the advanced role of Macrodata Refinement department chief.,"Mark S., at this time I confer upon you the freedom to serve Kier in the advanced role of Macrodata Refinement department chief."
1e.srt,187,188,"00:17:31,385 --> 00:17:32,678","00:17:33,971 --> 00:17:35,639",173,"00:17:31,385 --> 00:17:35,639",Image is good.,Um… Image is good.
1e.srt,194,195,"00:17:53,991 --> 00:17:55,367","00:18:02,040 --> 00:18:03,041",179,"00:17:53,991 --> 00:18:03,041",There you go.,- All right. - Okay. Um… There you go.
1e.srt,205,206,"00:18:34,573 --> 00:18:35,574","00:18:36,783 --> 00:18:38,827",189,"00:18:34,573 --> 00:18:38,827","I'm sorry, I got ahead of myself.","Um… I'm sorry, I got ahead of myself."
1e.srt,207,208,"00:18:42,539 --> 00:18:43,916","00:18:45,250 --> 00:18:46,793",190,"00:18:42,539 --> 00:18:46,793","Hi there, you on the table.","- That's it. - [Mark] Okay, um… Hi there, you on the table."
1e.srt,212,213,"00:18:55,010 --> 00:18:56,220","00:18:56,303 --> 00:18:59,348",194,"00:18:55,010 --> 00:18:59,348",but I just bet it'll make you feel right as rain.,"Now, I know you're sleepy, but I just bet it'll make you feel right as rain."
1e.srt,223,224,"00:19:32,005 --> 00:19:35,008","00:19:37,719 --> 00:19:40,264",204,"00:19:32,005 --> 00:19:40,264",- Open the door! - She... She's not supposed to do that.,- Let me out of here. Hey! - [doorknob rattling] - Open the door! - She... She's not supposed to do that.
