"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:01:26,795","00:01:30,340","**[NO TELUGU MATCH FOUND]**","[Big Jim grunting, laughing]"
"2","00:01:30,424","00:01:31,425","సూపర్!","Nice!"
"3","00:01:32,384","00:01:34,136","**[NO TELUGU MATCH FOUND]**","[breathes shakily]"
"4","00:01:38,015","00:01:42,060","మా నాన్న నా జీవితం చక్కగా ఉండాలని తాపత్రయ పడేవాడని నాతో అనేవాడు.","[Big Jim] My old man used to say he wanted me to better myself."
"5","00:01:42,144","00:01:43,187","ఐ లవ్ యూ.","[kisses] I love you."
"6","00:01:44,313","00:01:47,191","కానీ అతని కనులు అది నిజం కాదని చెప్పేసేవి.","[Big Jim] But I could see in his eyes he didn't."
"7","00:01:48,150","00:01:50,652","""నా జీవితం చక్కగా ఉండాలి"" అట.","[raspberry, scoffs] ""Better myself."""
"8","00:01:50,736","00:01:52,446","**[NO TELUGU MATCH FOUND]**","[grunting]"
"9","00:01:52,529","00:01:54,573","-లేదు. -దొరికావు.","- No. [chuckles] - I got you."
"10","00:01:54,656","00:01:56,992","సూపర్, జిమ్మీ. చక్కగా పరుగెత్తి పట్టుకున్నావు.","Nice, Jimmy. Way to get off the line."
"11","00:01:57,075","00:01:58,368","సూపర్!","Attaboy!"
"12","00:01:59,328","00:02:00,787","**[NO TELUGU MATCH FOUND]**","- [grunts] - [Big Jim] Oh!"
"13","00:02:00,871","00:02:02,706","లంబోర్గిని.","- [Young Jimmy giggling] - [Big Jim] Gremlin."
"14","00:02:02,789","00:02:04,791","వాళ్లు నీకు ఎప్పటికీ చెప్పని విషయమేంటో తెలుసా?","[Big Jim] You know what they never tell you?"
"15","00:02:05,501","00:02:11,590","అదేంటంటే, నువ్వు జీవించేది… నీ పిల్లల కోసమే అన్న విషయం.","They don't tell you that the love of your life… could be your child."
"16","00:02:14,760","00:02:18,347","నా రోగుల్లో ఎవరి మానసిక స్థితికి అయినా నీ వల్ల ప్రమాదం ఉందా?","Are you a threat to the mental health of any of my patients?"
"17","00:02:18,430","00:02:21,642","నీ వల్ల ప్రమాదం ఉందా?","[distorted] Are you a threat? Are you a threat? Are you a threat?"
"18","00:02:22,142","00:02:24,561","హాయ్. ఎక్కడికి వెళ్లిపోతున్నావు?","[normal] Hi. Where are you heading off to?"
"19","00:02:25,562","00:02:27,564","ఇంటికి వెళ్లిపోతాను.","[breathes shakily] Just gonna go home."
"20","00:02:27,648","00:02:29,149","నువ్వు వెళ్లలేవు. మాటిచ్చావు.","You can't. You promised."
