"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:17,142","00:00:19,645","**[NO TELUGU MATCH FOUND]**","[footsteps approaching]"
"2","00:00:44,044","00:01:27,838","**[NO TELUGU MATCH FOUND]**","[footsteps continue]"
"3","00:01:29,631","00:01:31,633","**[NO TELUGU MATCH FOUND]**","[police radio chatter]"
"4","00:01:37,931","00:01:38,932","**[NO TELUGU MATCH FOUND]**","[siren blares]"
"5","00:01:46,648","00:01:48,108","**[NO TELUGU MATCH FOUND]**","[radio chatter continues]"
"6","00:01:53,906","00:01:56,466","నేను ఎప్పట్నుంచో వేచి చూస్తున్నా. తను రాత్రంతా లోపలే ఉంది.","[Rachel] I've been waiting for hours. She's been there all night."
"7","00:01:56,491","00:01:58,785","ఒకసారి కిటికీ బయటకు చూడండి. సూర్యుడు కూడా వచ్చేస్తున్నాడు.","Look out the window. The sun is fucking coming up."
"8","00:01:58,869","00:02:00,889","మన్నించాలి. మీరు కూర్చొనే ఉండాలి.","[nurse] I'm sorry. You're gonna need to take a seat."
"9","00:02:00,913","00:02:02,915","డాక్టర్ ఎక్కడ? ఇంతకీ డాక్టర్ ఎక్కడ?","Well, where's the doctor? Where's the doctor?"
"10","00:02:02,998","00:02:05,685","-నేను అతనితో మాట్లాడాలి. డాక్టర్ ఎక్కడ? -ఆమె వస్తూ ఉంది.","- I wanna talk to him. Where's the doctor? - [nurse] She's on her way."
"11","00:02:05,709","00:02:08,044","ఒకసారి నా కూతురు, షారొన్ ని చూడనివ్వండి","[Rachel] Just let me see my daughter Sharon."
"12","00:02:08,127","00:02:10,047","నేను తనని ఏం జరిగిందో కనుక్కోవాలి, సరేనా?","I'd like to actually get some answers, okay?"
"13","00:02:10,130","00:02:12,066","దయచేసి కూర్చోండి. త్వరలోనే మేము మీకు సాయపడతాం.","[nurse] Please take a seat. We'll be able to help you soon."
"14","00:02:12,090","00:02:17,572","మీ సూపర్వైజర్ ఎవరు? ఇది సరైన పని కాదు. ఇంటెన్సివ్ కేర్ యూనిట్ -త్వరలోనే వచ్చేస్తాడు. -నాకు నా కూతురిని చూపించండి.","[Rachel] Who's your supervisor? This is not okay. - [nurse] He'll be here soon. - [Rachel] I just wanna see her."
"15","00:02:17,596","00:02:20,408","-మేడమ్, నేను అర్థం చేసుకోగలను. -అవునవును. ఓరి నాయనోయ్.","- [nurse] Ma'am, I understand. - [Rachel] Yeah, yeah, yeah. Unbelievable."
"16","00:02:20,432","00:02:22,142","సర్, ఇక్కడికి మీరు రాకూడదు.","Sir, this is a restricted area."
"17","00:02:38,116","00:02:39,117","**[NO TELUGU MATCH FOUND]**","[grunts]"
