"Index","Telugu Text","Mapped English Text"
"1","ఇప్పుడు నాకు ఎలా అనిపించాలి?","What am I supposed to be feeling right now?"
"2","విపరీతమైన విశ్రాంతి.","Extreme relaxation."
"3","ఆ, అది జరగదు.","Yeah, that's not gonna happen."
"4","ఇప్పుడు నాకు పరిస్థితులు చాలా కష్టంగా ఉన్నాయి.","Going through a tough time at the moment."
"5","మా అన్నయ్యతో గొడవ నడుస్తోంది ఇంకా.","Some stuff going on with my brother and."
"6","మీరు మాట్లాడడం ఆపితేనే విశ్రమించగలరు.","It helps if you stop speaking."
"7","ఆహ్, సరే, సరే.","Right, right."
"8","ఆ, అది కూడా జరగదు.","Yeah, that's not gonna happen either."
"9","మేమిద్దరం మేము చేయకూడని పనులు చేశాము, ఇందులో నా తప్పు కూడా ఉందని ఒప్పుకుంటాను.","We both have done things we shouldn't have, and I'll admit I'm not innocent in all this."
"10","నేను వాడికి ఫోన్ చేయ్యలంటారా లేక వాడు ఫోన్ చెయ్యడానికి ఎదురు చూడమంటారా?","Do you think I should call him or wait for him to call me?"
"11","క్షమించండి, మీరు నన్ను ఏమైనా అడిగారా? మీరు నా మ్యాట్ నుంచి జరుగుతారా?","Sorry, did you ask me a question? Can you get off my mat?"
"12","ఓహ్, క్షమించండి. ఆ, క్షమించండి.",", sorry. Yeah, sorry."
"13","అందుకని నేను వాడికి ఫోన్ చేశాను.","So I called him."
"14","కొన్నిసార్లు మనమే పెద్దరికం చూపించాలి, సరేనా?","Sometimes you have to be the bigger person, you know?"
"15","వాడు ఫోన్ చేస్తే బాగుండేది కానీ తప్పలేదు, ఏం చేయగలం చెప్పండి?","I would have preferred for him to call me, but, what can I say?"
"16","నా మంచితనం నన్నిలా చేసేసింది.","I'm a great fucking human being, so sue me."
"17","అదీ కాక, రేపు నా పుట్టినరోజు. వాడు ఏం చేస్తాడు, పట్టించుకోవడం మానేస్తాడా?","Besides, it's my birthday tomorrow. What's he gonna do, ignore it?"
"18","వాటిని ఎక్కువ వెయ్యి, రే. అసలే ఇవాళ నాకు చాలా విసుగ్గా ఉంది.","Don't fuck me on the fixings, Ray. It's been a long day."
"22","ఇంట్లో ఉన్నవాళ్ళందరికీ హాయ్ చెప్పు.","Say hi to the people at home."
"23","ఐక్, నువ్వు దాన్ని కింద పెడతావా. నువ్వు బాగా చేస్తున్నావు.","Ike, can you put that thing down. You're doing great."
"24","లేదు. నాకు దాహంగా ఉంది. నేను ఇస్తాను. ఇదుగో, ఇదుగో.","No, I'm so thirsty. I got it. I got it. Here, here."
"25","సరే, దీర్ఘ శ్వాస తీసుకో.","All right, deep breath."
"26","మీ ఐస్ చిప్స్, కావాలా మేడం?","Your ice chips, madame?"
"27","ఇంత సహకరించే మంచి భాగస్వామి దొరకడం మీ అదృష్టం.","You're lucky to have such a supportive partner."
"28","మీ మహిళలందరూ యోధులు.","You women are warriors."
"29","నువ్వు ఇప్పుడు నెట్టాలి.","I think we're ready to push."
"30","ఆగు. ఆగు, ఆగు, ఆగు.","Hold on. Wait, wait, wait."
"31","బిడ్డ బయటకి వస్తోంది. ఆగండి. ఆగండి, ఆగండి.","Baby's crowning. Wait. Hold on, hold on."
"32","నెడుతూ ఉండు. ఆగండి.","Keep pushing. Hold on."
"33","అప్పుడే కాదు, అప్పుడే కాదు! ఐక్, దాన్ని కింద పెట్టు!","Not yet, not yet! Ike, put that fucking thing down!"
"34","నెడుతూ ఉండు, నెడుతూ ఉండు! ఐక్!","Keep pushing. Keep pushing. Ike!"
"35","బాగా చేస్తున్నావు. నేను ఇక్కడే ఉంటాను. నెట్టు. అదుగో!","You're doing great. I'll be here. Push. There we go!"
"36","నెట్టు. నేను చూడాలి.","Push. I gotta focus."
"37","ఇంకొక్క సారి! ఇంకొక్క సారి!","One more push! One more push!"
"38","అదుగో.","There we go."
"39","నువ్వు సాధించావు! అది అబ్బాయి! అది అబ్బాయి!","You did it! It's a boy! It's a boy!"
"40","అది బొడ్డు తాడు.","Actually, that's the umbilical cord."
"41","ఇది అమ్మాయి.","This would be a girl."
"42","ఇది అమ్మాయి. అవును, మంచి అమ్మాయి.","It's a girl. Yes, good girl."
"43","అది అమ్మాయి. ఇంకా ఆ.","It's a girl. And Yeah."
"44","ఇది అమ్మాయి. తనతో ఒక స్నేహితురాలిని తెచ్చుకుంది.","It's a girl. And she brought a friend."
"45","ఏంటి?","What?"
"46","మీకొక విషయం చెప్పాలి, అమ్మా, నాన్నా. మీ పని పూర్తవలేదు.","I've got news for you, Mom and Dad. Your work's not done here."
"47","మీకు కవలలు. కవలలా?","You're having twins. Twins?"
"48","రెండింతలానందం. ఆ, కవలలు.","Double the joy. Yes, twins."
"49","బానీ, నువ్వు ఇప్పుడు.","Now, Bonnie, come on, I need you to."
