Index,Details,Telugu,English,Status
117,t(2)-e(3) | .. vs ...,నేను డఫీని. వెంటనే విమానంలో టాక్టికల్ బృందాన్ని పంపించండి.,This is Duffy. Get a tactical team airborne. Now.,MISMATCH
222,t(3)-e(2) | ..? vs .?,ఏదీ ఆలోచించకుండా ఎవ్వరూ ఉండరు మిన్. నువ్వు ఒక జెన్ మాస్టర్ వి అయితే తప్ప. నువ్వు జెన్ మాస్టర్ వా?,"No, no one thinks about nothing, Min, unless they're a Zen master. Are you a Zen master?",MISMATCH
239,t(2)-e(3) | .. vs ...,ప్లీజ్ ప్లీజ్. చప్పుడు చేయకు.,[panting] Please. Please. [Larry] Quiet.,MISMATCH
312,t(2)-e(3) | .. vs ...,కిడ్నాపర్ని డాగ్ స్క్వాడ్ చంపేసింది. నా దగ్గర ఫుటేజీ ఉంది.,Dogs shredded a kidnapper. Pretty wild. I got some headcam footage.,MISMATCH
317,t(2)-e(3) | .. vs ...,మీకు ఐదు మైళ్ల వెనక. అబ్బా.,[Roddy] Lay-by. Five miles behind you. [Jackson] Shit.,MISMATCH
324,t(2)-e(3) | .. vs ...,నువ్వు దద్దమ్మవి కాబట్టి అతను పారిపోలేదన్నమాట. నువ్వే అతన్ని వదిలేశావు కదూ.,Not that you're a crap shot. That's not why he escaped. You let him go.,MISMATCH
349,t(2)-e(3) | .. vs ...,"లే, పైకి లే. పద.",Get up. Get the fuck up. Move.,MISMATCH
385,t(3)-e(2) | ... vs ..,"హసాన్, హసాన్! హసాన్. ఆగు. ఆగు.","Hassan, Hassan! Hassan. Stop, stop.",MISMATCH
387,t(3)-e(5) | ... vs .....,"నీకేం కాదు. సురక్షితంగా ఉన్నావు. చూడు, దాన్ని కింద పెట్టు.",You're safe. You're safe now. Look. Put it down. Give me the axe.,MISMATCH
390,t(2)-e(3) | .. vs ...,"హసాన్, నావైపు చూడు, హసాన్. వద్దు.","Hassan. Look at me, Hassan. No.",MISMATCH
394,t(2)-e(4) | .. vs ....,"సరే, పద. పక్కకు రా.",All right. Come on. Let's step away. Step away.,MISMATCH
395,t(2)-e(4) | .. vs ....,వెనక్కి రా. వెనక్కి రా.,Back up. Back up. Back up. Good man.,MISMATCH
400,t(3)-e(5) | ... vs .....,ఓకే. ఓకే. కూర్చుందాం.,Okay. Okay. Let's just sit down. There you are. Okay.,MISMATCH
401,t(2)-e(3) | ?. vs .?.,హసాన్? నీ చేతినుంచి రక్తం కారకుండా కట్టు కడతాను.,Okay. Hassan? I'm gonna have to stop the bleeding on that arm.,MISMATCH
481,t(2)-e(3) | .. vs ...,అద్భుతం. బాగుంది.,Great. Sounds good. Um.,MISMATCH
573,t(2)-e(3) | .? vs ..?,"నిన్ను నమ్మను. నీ ప్రవర్తనలో మార్పు వచ్చింది, కాదంటావా?",I don't believe you. I should have read the signs. Should I?,MISMATCH
