Index,Telugu Text,Mapped English Text
9,"అమ్మ, సౌండ్ తగ్గించవా?","Mom, can you turn the music down?"
10,"అమ్మా, సౌండ్ తగ్గించు.","Mom, turn the music down."
11,నువ్వు ఎప్పుడు వచ్చావు?,When the fuck did you sneak in?
12,ఇక్కడికి వచ్చావే?,Why are you at my place?
13,మా బిల్డింగులో మళ్లీ నీటి సరఫరాని నిలిపివేశారు.,They turned the water off in my building again.
14,షోకి ముందు స్నానం చేద్దామని వచ్చా.,I needed a shower before the show.
15,"ఇంకో విషయం, నువ్వు ఏసీ కొనుక్కోవాలి.","Um, also, you need to buy some more conditioner."
16,నువ్వు టోక్యోని నడకకు తీసుకెళ్ళలేదు కదా?,"You didn't happen to take Tokyo for a walk, did you?"
17,లేదు. కానీ దానికి ఆహారం పెట్టా.,"Um, no. But I fed her."
18,"అమ్మా, కుక్కకి పిజ్జాలు పెట్టకూడదు.","Mom, you cannot feed the dog pizza."
19,ఎందుకు? అది ఆవురావురు మంటూ లాగించేస్తుంది.,Why? She likes it.
20,సరే. పిజ్జా పెట్టనులే. కోపం తెచ్చుకోకు. ఇక నేను బయలుదేరుతున్నా.,"All right. No pizza, no pizza. Don't freak out. I'm leaving."
21,స్టీవ్ సౌండ్ చెక్ చేస్తున్నాడు. వాడు దేనైన్నా నాశనం చేయకముందే నేను అక్కడ ఉంటే మంచిది.,Steve is rolling sound check. I gotta get there before he fucks up the inputs.
22,"నీ హెయిర్ స్టయిల్ ని సరి చేస్తాను, ఆగు.",Let me just fix this.
23,నీకు సరిగ్గా వేసుకోవడమే రాదు. సరే మరి.,You never do it right. Okay.
24,బాగా ఆనందంగా ఉన్నట్టున్నావు.,You seem happy.
25,"అవును, ఎందుకు చెప్పుకో? ఇవాళ నా ఒక్కదాని పేరు మీదే ఆర్టికల్ వచ్చింది.","Yeah, and guess what? I got my first solo byline today."
26,అంటే? అది పదోన్నతా? ఇంకా కాదు. కానీ త్వరలోనే రావచ్చు.,"What does that mean? Is that a promotion? Um, not yet. Maybe soon."
27,నేను ఒక దార్యాప్తును కవర్ చేస్తున్నా.,"Um, I'm covering a trial."
28,"ఒక జడ్జి ఉన్నాడు, ఆయన లంచాలు బాగా పుచ్చుకున్నాడు.",There's this judge who took a bunch of bribes.
29,కాబట్టి నేను దాని గురించి ఒక సిరీస్ చేస్తున్నా. అది చాలా గొప్ప విషయం.,So I'm gonna do a whole series. That's so great.
30,నీకు కూడా కావలసింది అదే కదా? అవును.,"That's what you wanted, right? Yeah."
31,అవును.,Yeah. !
32,"అభినందనలు. థ్యాంక్స్, అమ్మా.","Congratulations. Thanks, Mom."
33,"తర్వాత రా, సరేనా? అలాగే.","Come by later, okay? Okay."
34,పండగ చేసుకుందాం. అలాగే.,We'll celebrate. Okay.
35,"సరే మరి, నాకు గుడ్ లక్ చెప్పు! గుడ్ లక్!","All right, wish me luck! Good luck!"
39,ఆడాలనుందా? దీన్ని విసిరిస్తే తెస్తావా?,Wanna play? Huh? You wanna fetch it?
40,తీసుకురా.,Go fetch.
44,"కదలకే, తిరుగుబోతు దానా.","Stay still, you fucking whore."
47,అక్కడే నేల మీద ఉండిపోయాను.,"That's where I ended up, just on the ground."
48,"నాకు ఇసుక, కాలిపోయాక విసిరేసిన సిగరెట్లు అన్నీ కనిపిస్తున్నాయి.",I could really see it. The sand and cigarette butts.
49,"చనిపోయేముందు నేను చూసే ఆఖరివి అవి కాకూడదు అనుకొని, ముందుకు పాకడం మొదలుపెట్టాను.","I didn't want that to be the last thing I saw, so I just kept moving."
50,ఆ చెత్తను చూస్తూ చావకూడదని వాటికి చాలా దూరంగా పోవాలనుకున్నాను.,I wanted to get far enough that I didn't die looking at trash.
51,అప్పుడు ఎవరో నన్ను చూశారు.,And then someone found me.
52,అతడిని ఇంకెవరైనా చూశారా?,Did anyone else see him?
53,"లేదు, అదే నాకూ అర్థం కావట్లేదు.",No. And I don't know how.
54,నేను అక్కడికి వెళ్లినప్పుడు చాలా మంది ఉన్నారు.,There were lots of people there when I showed up.
55,ఆ తర్వాత హఠాత్తుగా అందరూ మాయమైపోయారు.,Then everyone emptied out.
56,"అంటే, అతను నిన్ను ఫాలో చేశాడా? లేదు.","So, he followed you? No."
57,అతను నా వెనుక లేడు. నా ముందే ఉన్నాడు.,He wasn't behind me. He was ahead of me.
58,నిన్న నాకు కూడా అలాగే జరిగింది.,It was the same yesterday.
59,అతను మేడ మీద మీ వద్దకు వచ్చి ఏం చేశాడు?,"So he corners you on the ledge, and then what?"
60,"ఏమైనా ఆయుధం తీశాడా, లేక మీ మీద చేయి ఏమైనా వేశాడా?",Does he have a weapon? Does he lay a hand on you?
61,"లేదు, అతను నన్ను తాకలేదు. అతను నా కోసం రాలేదు.",No. He didn't touch me. He wasn't there for me.
62,"అతనికి ఏమైనా అనిపిస్తే, అది నీకు తెలుస్తుందని నేను నీకు చెప్పాలట.","He wanted me to tell you when he feels something, you'll know."
63,అప్పుడు సమయం ఎంత?,What time was that?
64,సుమారుగా 8:30.,Around 8:30.
65,"నీ కారు. అతను ఆమె దగ్గరికి వచ్చినప్పుడు, నీ కారు మారిపోయింది.","Your car. When he came for her, it changed."
66,అతను మళ్లీ వస్తాడని చెప్పాడు.,He said he was coming back.
67,నీ కీ చెయిన్.,Your key chain.
68,వాడు నీ పాత కీ చెయిన్ ని తీసుకొని మరో మహిళ శరీరంలో పెట్టాడు.,He took your old one and left it in another woman.
69,అంటే? నన్ను కూడా చంపుతాడా?,What does that mean? Is he gonna kill me?
70,ఎప్పుడో చంపేశాడు. కానీ ఆ సమయం ఇంకా రాలేదంతే.,He already has. Just not yet.
72,"సరే మరి, సిద్ధంగా ఉన్నావా?","All right, you ready?"
73,"సరే, ఇక మొదలుపెట్టు.","All right, get going."
75,అలా కాదు. టీనీస్ లా. నువ్వు ఎలా చెప్తావో అలా చెప్పు.,"No, not like that. Just be you. Like Teenie's."
76,"""టీనీస్"". తన పేరు క్రిస్టీనా ఏమో.","""Teenie's."" She could be a Christina."
77,లేకపోతే తను పొట్టిగా ఉందని అలా అన్నాడేమో.,Maybe she's just short.
78,లేదా ఆమె పెద్దగా ఉన్నా కూడా సరదాగా అలా పిలిచాడేమో.,"Or maybe she's really big, and it's like a joke name."
79,బహుశా టీనీస్ అనేది మనిషి పేరు కాదేమో. ఒక చోటు పేరేమో.,Maybe Teenie's isn't a person. Maybe it's a place.
80,తను పని చేసే చోటు అయ్యుండవచ్చు. బారో బార్ అయ్యుంటే మా నాన్నకి తెలిసి ఉండేది.,"Somewhere she works. A bar No, my dad would know it."
82,"సరే మరి, మనం టీనీస్ అనే పేరుతో ఏదైనా చిరునామా ఉందేమో కనిపెట్టే పని మొదలుపెడదాం.","All right, we should head in. Let's try to find an address for Teenie's."
84,మార్కస్ కి కాల్ చేస్తావా? అతనికి సమాచారం ఇవ్వు. ఎందుకంటే దీనికి కాస్త సమయం పడుతుంది.,You need to call Marcus? Give him a heads-up. It'll be a few hours.
85,అతను చికాగో కబ్స్ ఆటను కవర్ చేస్తున్నాడు. తర్వాత ఆఫీసుకు వస్తాడుగా.,He's covering the Cubs game. He'll be at the office.
86,ఆ విషయంలో నీకు చాలా ఆనందంగా ఉన్నట్టుంది.,You seem happy about it.
87,ఆనందంగా ఉండకూడదా? ఏమో మరి.,Is there a reason I shouldn't be? I don't know.
88,"నువ్వు అతడిని పెళ్లి చేసుకోలేదని, ఓసారి ఇంటికి వెళ్లి చూస్తే అతను ఉన్నాడని అన్నావు.","You said you never married him, that you came home and he was just there."
89,కాబట్టి అతను నీకు కొత్తవాడు.,So he's a stranger.
90,నాకు అంతగా తెలియని వ్యక్తి అతను.,He's not someone I really knew.
91,"కానీ, నువ్వు అన్నట్టు, నా జీవితంలోకి రానున్న వ్యక్తి అతనే ఏమో.","But, like you said, maybe he's what's to come."
92,బహుశా అతడినే నేను ఎంచుకుంటానేమో.,Maybe he's a choice I'm gonna make.
93,అయితే నువ్వు అది అతనికి చెప్పు. ఏమనుకుంటున్నాడో చూడు.,Then you should tell him that. See what he thinks.
94,సరే.,Yeah.
97,నిన్న ఏం జరిగింది?,What happened yesterday?
98,ఇక్కడ ఎవరైనా ఉండటం చూశానా అని నన్ను సెక్యూరిటీ వాళ్లు అడిగారు.,Security asked me if I saw anybody hang around back here.
99,మరి చూశావా? కొత్తవాళ్ళని ఎవరినీ చూడలేదు.,Have you? No one we don't know.
100,వాళ్లు నీ గురించి కూడా అడిగారు.,They also asked about you.
101,నువ్వు ఏమన్నావు?,What'd you say?
102,"ఏళ్ల తరబడి నువ్వు చేసిన పరిశోధనని ప్రెజెంట్ చేయడాణికి ఇంకా రెండు రోజులే ఉందని, కాబట్టి నువ్వు బాగా ఒత్తిడిలో ఉన్నావని చెప్పాను.","That it's two days before you're presenting years' worth of research, so you're wound pretty tight."
