"Index","Telugu Text","Mapped English Text"
"1","అవును, నీ పేరు మళ్లీ చెప్పు.","Yeah, tell me your name again."
"1","సారీ.","Sorry."
"1","ఆలిస్ సింక్లెయిర్.","Alice Alice Sinclair."
"1","అయితే, నువ్వు చెప్పేదాని ప్రకారం, ఆలిస్, ఇది ఖచ్చితంగా సాయం కోరుతూ చేసిన కాల్ అంటావా","So, you're saying, Alice, that this is a definite SOS call"
"1","లేదు, మేము అంటున్నది","No. No, we're saying"
"1","లేదా మీరు ఇంకా ఖచ్చితంగా చెప్పలేకపోతున్నారా?","Or that you're still not sure?"
"1","ఎందుకంటే అవి రెండు వేర్వేరు భిన్నమైన విషయాలు, ఆలిస్.","Because they both are two very different things, Alice."
"1","మేము అనేది, నన్ను కాసేపు మాట్లాడనిస్తే,","We're saying, if you let me speak,"
"1","ఆ విమానం ప్రయాణమార్గం మళ్లడం ఇంకా అనుమానాస్పదమైన కమ్యూనికేషన్ల కారణంగా,","that due to its changing course and unusual communications,"
"1","కెఎ29 విమానం ప్రమాదంలో ఉందని చెప్పడానికి చాలా బలమైన కారణాలు కనిపిస్తున్నాయి.","that there is a stronger chance than ever that flight KA29 is in danger."
"1","अनुమానాస్పదమైన కమ్యూనికేషన్లా?","Unusual communications?"
"1","స్పందించకపోవడం, పైలెట్ చేసిన ప్రకటనలలో వైరుధ్యాలు ఉండటం,","Failure to respond, contradiction in statements made by the pilot,"
"1","ఇప్పుడు ఈ సమయానికి, 8:07 గంటలకి, మాకు తెలిసిన సమాచారం ఇదే.","and as of whatever it is now, 8:07, that's all we've got."
"1","కానీ మనం ఆందోళన పడటానికి ఇది సరిపోతుంది.","But it's enough to have us worried."
"1","నిజం, అయితే, నేను నా పై అధికారులకు చెప్పాలేమో?","Right, so so, I'm taking this higher?"
"1","అవును, మా సలహా కూడా అదే.","Yeah, that would be our suggestion."
"1","ఏమైనా సందేహాలు ఉంటే మిమ్మల్ని సంప్రదిస్తాం.","Coming to you with any questions."
"1","అలాగే ఏదైనా సున్నితమైన సమాచారం ఉన్నా చెప్పండి.","Also very sensible."
"1","సరే.","Okay."
"1","థాంక్యూ, ఆలిస్.","Thank you, Alice."
"1","సంతోషం.","You're welcome."
"2","డ్యూటీ ఆఫీసర్ ఎక్కడ?","Where's the duty officer?"
"2","సరిగ్గా అటు వైపు.","Right through."
"2","థాంక్స్.","Thanks."
"3","సరే, మరి.","Okay, so."
"4","మన జెటిఎసి డ్యూటీ ఆఫీసర్ ని కలవాలి.","I need our JTAC duty officer."
"4","జాహ్రా, నేను ఒక మీటింగ్ లో ఉన్నాను.","Zahra, I'm in a meeting."
"4","అది నాకు తెలుస్తోంది.","I can see that."
"4","మార్నింగ్.","Morning."
"4","గుడ్ మార్నింగ్.","Morning."
"5","నువ్వు ఇప్పుడు చేసిన పని ఏంటో నీకు తెలుసా మన జెటిఎసి డ్యూటీ ఆఫీసర్ ఎక్కడ?","Have you got any idea what you've just Our JTAC duty officer?"
"6","అతను పితృత్వ సెలవు మీద ఉన్నాడు.","Is on paternity leave."
"6","సరే.","Right."
"6","అయితే అతని విధులు చూస్తున్న వారు కావాలి నేనే చూస్తున్నాను.","Then I need whoever's covering Me."
"6","మాట్లాడాలి.","To spea."
"7","జెటిఎసిలో తోటి ఉద్యోగులతో మాట్లాడాలి.","To speak to their colleagues at JTAC."
"7","ఒక కాల్ లేదా మీటింగ్ ఏర్పాటు చేయాలి.","Set up a call or a meeting."
"7","బ్రిటీష్ ప్యాసింజర్ విమానాన్ని హైజాక్ చేశారని మాకు అనుమానాలు ఉన్నాయి అది మరో ఐదు గంటల్లో లండన్ చేరుకోవలసి ఉంది.","We have a suspected hijack of a British passenger plane due to arrive in London in five hours."
"9","ఎవ్వరికీ ఆసక్తి లేదు.","Nobody's interested."
"9","ఇది ముఖ్యం.","It's important."
"9","ఎప్పుడూ కల్పించుకుంటావు.","You're always interfering."
"10","కూర్చో.","Sit."
"10","ప్రమాదం కొని తెచ్చుకోకు.","Don't make trouble."
"10","హేయ్, అంతా బాగానే ఉందా?","Hey. Is everything all right?"
"11","అంతా బాగానే ఉంది.","Everything okay."
"12","మీరు ఏదైనా చెప్పాలి అనుకుంటున్నారా?","Is there something you wanna talk about?"
"13","లేదు.","No."
"13","చెప్పేది ఏమీ లేదు.","No talking."
"13","థాంక్యూ.","Thank you."
"14","అది దేని గురించి?","What was that about?"
"14","ఖచ్చితంగా, నాకు తెలియదు.","Obviously, I don't know."
"15","ఆయనని నోరు మూసుకోమని చెబుతోంది.","She's telling him to shut up."
"16","ఆయన చెప్పాలనుకునే విషయం వాళ్లకి ప్రమాదం తెచ్చిపెట్టచ్చు.","What he's saying will get them in trouble."
"17","ఆయన ఏం చెప్పబోయాడు?","What is he saying?"
"18","హైజాకర్లు ఉపయోగిస్తున్న తుపాకులు నకిలీవి అంటున్నాడు.","He says the guns the hijackers are using are fake."
"19","దీర్ఘంగా శ్వాస పీల్చండి.","Deep breaths in."
"20","తరువాత ముక్కు గుండా నెమ్మదిగా శ్వాస విడవండి.","then exhaling slowly through the nose."
"21","నిదానంగా కళ్లు తెరవండి.","Eyes opening gently now."
