"Index","Telugu Text","Mapped English Text"
"1","ఇక్కడా?","Like, right here?"
"2","కాదు.",", no."
"2","జరుపు, జరుపు.","Move, move."
"2","పార్టీ గురించి మీరు ఎప్పుడూ తెలుసుకోవాలని అనుకున్నది కానీ అడగడానికి భయపడింది.","Everything you always wanted to know about the party but were afraid to ask."
"3","ప్రశ్న: ఐక్, మీరు నాకు ఎప్పుడూ ఉత్తరాలు రాయరు.","Question: Ike, you never write."
"3","ఇప్పుడెందుకు రాస్తున్నారు?","Why are you writing to me?"
"4","సమాధానం: రోజు గుర్తుపెట్టుకోమని చెప్పడానికి.","Answer: To save the date."
"5","ప్రశ్న: ఏ రోజు?","Question: What date?"
"5","సమాధానం: శనివారం, జులై 6, 1991.","Answer: Saturday, July 6, 1991."
"7","ప్రశ్న: నేను ఎందుకు గుర్తుపెట్టుకోవాలి?","Question: What am I saving it for?"
"7","సమాధానం: ఒక వేసవి పార్టీ.","Answer: A summer party."
"7","ప్రశ్న: నేను ఎలాంటి దుస్తులు వేసుకోవాలి?","Question: What should I wear?"
"7","జంగల్ జూస్ సమాధానం: పార్టీని సఫారీ థీమ్ లో చేయబోతున్నాం, అందుకని దానికి అనుగుణంగా అధ్భుతమైన జంతువుగా డ్రెస్ వేసుకోండి.","Answer: The party is safari themed, so dress like the wild exotic animal that you are."
"8","ప్రశ్న: కానీ నేను అక్కడికి ఎలా వస్తాను?","Question: But how will I get there?"
"9","సమాధానం: 40వ మరియు 80వ అవెన్యూకి ఆగ్నేయంగా ఉన్న జంక్షన్ కి రండి.","Answer: Meet on the southwest corner of 40th and 8th Avenue."
"10","ఇంటికి ఎలా వెళ్ళాలి అన్న దాని గురించి కంగారు పడకండి.","Don't worry about the ride home."
"10","మీరు తిరిగి అదే చోట రాత్రి పదింటికి దింపబడతారు, బాగా అలసిపోయి, మత్తులో మాత్రం ఉంటారు.","You'll be dropped off at the very same spot at 10:00 p.m., tanned, tired and tipsy."
"11","ఐక్ పార్టీకి వెళ్ళే బస్ ఇదేనా?","This is the bus to Ike's party?"
"11","అవును.","It sure is."
"12","సరే. ఆ.","Okay, yeah."
"13","ప్రశ్న: మనం ఆ పార్టీలో ఏం చేస్తాము?","Question: What are we gonna do at the party?"
"14","సమాధానం: మనం ఏం చెయ్యము?","Answer: What aren't we going to do?"
"14","మీరు ఈత కొట్టచ్చు, కోడి పందాలు, పింగ్-పాంగ్, తోటలో డార్ట్ లు, క్రోకేట్, లింబో ఇంకా చాలా ఉన్నాయి.","There'll be swimming, chicken fights, Ping-Pong, lawn darts, croquet, limbo and so much more."
"15","మిమ్మల్ని త్వరలో కలుస్తాను.","See you soon."
"20","మార్టీ, తోటలో కుర్చీల పక్క నుంచి వస్తున్న ఆ పిచ్చి కంపు ఏంటి?","Marty, what is that odor that smells like shit by the lounge chairs?"
"20","ఆ వాసన అలానే ఉంటుంది.","Well, i-it is what it smells like."
