"Index","Telugu Text","Mapped English Text"
"1","ఎక్కడో ఆఫ్రికాలో సీతాకోకచిలుక రెక్కలు ఆడిస్తే, కొన్ని నెలల తర్వాత మయామీలో తుఫాను సంభవిస్తుంది అనేది మనందరం వినే ఉంటాం.","[person] We've all heard that thing about the butterfly flapping its wings in Africa, and months later there's a hurricane in Miami."
"2","వినకుండా ఉంటే, ఓసారి తెలుసుకోండి.","Well, if you haven't, look it up."
"3","సంబంధం ఉండవు అని మనం అనుకొనేవాటి మధ్య సంబంధం ఉంటుందని దాని అర్థం.","It means things you don't think are connected actually are."
"4","నాకు ఈ అమ్మాయి ఎవరో తెలీదు.","I never knew this girl."
"5","తనని ఎప్పుడూ కలుసుకోలేదు.","Never met her."
"6","ఇది తన జీవితం.","This is the life she knew."
"8","ఇది నా జీవితం.","And this is the life I knew."
"10","అదుగో నేను.","[friend 1] There I am."
"10","బుడ్డోడు అక్కడ ఉన్నాడు.","There's the kid."
"11","నిన్ను నువ్వు ""బుడ్డోడు"" అని పిలుచుకున్నావే?","[friend 2] Did you just call yourself ""the kid""?"
"12","ఆగు, ఈ ఆటలోనే కదా నువ్వు ఒక క్వార్టరులోనే మూడు సార్లు బాల్ ని జారవిడిచేసింది?","Wait, isn't this the game you fumbled three times in one quarter?"
"13","ఈ ఆటలోనే, నేను ఇది కూడా చేశాన్రా, సన్నాసీ.","This is also the game where I did this, motherfucker."
"14","మీకు సంబంధం ఉండదని అనిపించవచ్చు, కానీ సంబంధం ఉంటుంది.","[person] You wouldn't think so, but it is all connected."
"15","ఈ సన్నాసులు, ఆ సైకిల్ తొక్కే అమ్మాయి.","These knuckleheads. That girl on the bike."
"16","ఒక్క నిమిషం.","Wait."
"16","పక్కన బట్టలు విప్పేసి పరుగెత్తుతున్న ఆ మనిషి ఎవరు?","Wait, who's that streaking down the sideline?"
"17","కాంకకీ ముద్దు బిడ్డ.","Kankakee's favorite son."
"18","నేను, నా సిరులొలికే చిరునవ్వు.","[person] Me, with my million-dollar smile."
"19","ఇప్పటికీ చెరగని కాలేజీ రికార్డులకు అధిపతి.","[friend 2] Owner of grad school records that still stand."
"20","ఒకటి కాదు, రెండు కాదు, మూడుసార్లు ఉపకారవేతనం సంపాదించాడు.","[friend 3] Given not one, not two, but three fucking scholarship offers."
"21","నిజానికి, నాలుగుసార్లు సంపాదించాను.","Hey, it was four, actually."
"22","బాబోయ్, జిమ్మీ, నువ్వు మామూలోడివి కాదు.","Christ, Jimmy, you really were something."
"23","మరి నా సంగతేంటి?","[friend 1] What about me?"
"24","వాడి వల్ల నువ్వు కూడా పిస్తావే అయ్యావులే.","Well, he made even you look good."
"25","కాంకకీ గారాల బిడ్డ.","[friend 2] Pride and joy of Kankakee."
"26","చూశారా?","See?"
"26","సరే మరి.","[Jimmy] Okay."
"27","ఇంటిని నాశనం చేయకుండా ఉండండి, ఈసారి తాళం వేయడం మర్చిపోకండి.","Try not to burn the place down, and remember to lock up this time."
"28","సరే.","Yeah."
"28","ఓయ్, ఆ దిండు ఏంటి?","Wait, what's with the pillow?"
"29","డానీ ఏమైనా కాల్ చేశాడా?","Anybody heard from Danny?"
"30","అసలైన ఆట ఇప్పుడు మొదలవుతుంది.","[friend 1] Here's the real play."
"30","చూడండి.","Watch this shit."
"31","అక్కడే.","Right here."
"31","సరిగ్గా అక్కడే.",", right there."
"32","అందగాడివే.","[friend 2] You fucking has-been pretty boy."
"34","అప్పుడప్పుడూ మనం ఒకటి అనుకుంటే ఇంకొకటి జరుగుతుంటుంది కదా?","[Jimmy] You know those times where you think something's gonna go one way, but it goes sideways?"
"35","అలా నాకు ఎప్పుడైనా జరిగిందా అని ఎవరైనా అడిగితే, ఆ జరగడం ప్రారంభమైంది ఇక్కడి నుండే అని చెప్తాను.","If I had to pick the moment, here's where it all started to go sideways for me."
"36","అంటే, నా బతుకు పూర్తిగా బస్టాండ్ అయిపోవడం అన్నమాట.","Like, for fucking ever."
"37","హాయ్, జిమ్మీ.","Hiya, Jimmy."
"38","హాయ్, రాజ్.","Hi, Rog."
"38","వచ్చి ఎక్కు.","Hop in."
"39","ఆ దిండు ఏంటి?","What's with the pillow?"
"40","పోయినసారి కలిసినప్పుడు, నీ మెడ ఊరకూరకే పట్టేస్తుందని అన్నావు కదా, నా మెడ కూడా పట్టేసేది.","Well, last time I saw you, you said you kept getting cricks in your neck. I used to get 'em too."
