File_Path,Original_Index_1,Original_Index_2,New_Timestamp,Merged_Dialogue_Start
1t.srt,9,10,"00:01:10,571 --> 00:01:15,325","మీకు మత్తుగా ఉందని నాకు తెలుసు, కానీ దాని వల్ల మీరు పూర్తిగా హోష్ లోకి వచ్చేయగలరు."
1t.srt,49,50,"00:04:04,077 --> 00:04:09,416","మీకు గుర్తున్నంత వరకు, మీ అమ్మగారి కనుల వర్ణం ఏంటో చెప్పగలరా?"
1t.srt,70,71,"00:11:26,436 --> 00:11:31,358","నీ మీదకి నా శ్వాసని వదిలితే, నీకు అనారోగ్యం వస్తుందో లేదో తెలీదు కానీ, క్రిములమయమైన నా స్వరపేటికిన ప"
1t.srt,89,90,"00:12:17,529 --> 00:12:21,158","అవును, నా ఫైల్ పూర్తి కాలేదని అతను గమనిస్తే, ఈ త్రైమాసికానికి ఉత్తమ రిఫైనర్ రివార్డ్ నాకు దూరమైపోతుం"
1t.srt,93,94,"00:12:26,163 --> 00:12:29,958","మా రోజుల్లో ఏదైనా ఫైలును ప్రాసెస్ చేసినప్పుడు, వాళ్లు కరచాలనం చేసి, కాఫీ పార్టీ ఇచ్చేవారు."
1t.srt,109,110,"00:13:32,896 --> 00:13:36,817","ఆ విషయం ఆమె ఎప్పుడూ చెప్పదు, కానీ ఆమె గది గురించి పొగిడితే, ఆమెకి కాస్త బాగుంటుంది."
1t.srt,122,123,"00:14:41,298 --> 00:14:47,679","సరే మరి... అంటే, ఇంతకు ముందు పీటీ లేనప్పుడు నేను ఇలా వ్యవహరించాను, కాబట్టి ఏ సమస్యా ఉండదు."
1t.srt,129,130,"00:15:10,160 --> 00:15:14,331","నీకు చెప్పాలనే మాకూ ఉంది, కానీ గోప్యత పాలసీ ప్రకారం మేము మీకు చెప్పలేము."
1t.srt,185,186,"00:18:55,010 --> 00:18:59,348","మీకు మత్తుగా ఉందని నాకు తెలుసు, కానీ దాని వల్ల మీరు పూర్తిగా హోష్ లోకి వచ్చేయగలరు."
1t.srt,207,208,"00:20:10,711 --> 00:20:15,883","- ఏంటి? - ఉపోద్ఘాతం ఒకటి ఉండింది, సర్వేను మొదలుపెట్టి, మిమ్మల్ని ప్రశ్నలు అడగడానికి ముందు,"
1t.srt,229,230,"00:21:49,101 --> 00:21:55,607","దాని గురించి మాట్లాడుకొనే ముందు, మీరు వినుండే అవకాశమున్న అంశమైన పని, పనేతర జీవితాల మధ్య సమతుల్యత గుర"
1t.srt,242,243,"00:23:07,012 --> 00:23:14,728","నేను సమాధానం చెప్పలేనని గ్రహించినప్పుడు, నిన్ను వెంటాడి మరీ చంపేస్తా అని ఆ స్వరంతో అన్నాను."
1t.srt,288,289,"00:28:03,100 --> 00:28:10,315","మంచి విషయమేంటంటే, మీ జాయినింగ్ లో భాగంగా ఇంకా ఒక్క భాగం మాత్రమే మిగిలి ఉంది, దాన్ని మార్క్ తప్పుదారి"
1t.srt,300,301,"00:29:29,770 --> 00:29:36,693","మంచి విషయమేంటంటే, నరకం అనేది కేవలం మనిషి యొక్క భయంకరమైన కల్పన మాత్రమే."
1t.srt,302,303,"00:29:36,777 --> 00:29:43,283","కానీ చెడు విషయమేమిటంటే, మానవులకు తమ కల్పనలను సృష్టించే అలవాటు ఉంది కూడా."
1t.srt,323,324,"00:31:29,932 --> 00:31:36,188","ఈ మార్పు అనేది సమగ్రమైనదని, అలాగే దీన్ని పూర్వ స్థితికి చేర్చడం సాధ్యం కాదని నాకు తెలుసు."
