"Index","Telugu Text","Mapped English Text"
"1","డయాన్ కొన్ని కొత్త ఇళ్ల వివరాలు పంపించింది. మనం వెళ్లి చూసి వద్దామా?","Diane sent a listing that looks promising. Should we go check it out?"
"2","నాకు ఈ రోజు కుదరదు.","I can't today."
"3","పోనీ రేపు వెళదామా, లేదా నీకు కుదిరితే ఈ వారంతంలో వెళదామా?","Or we could go tomorrow, or on the weekend if you like?"
"4","నీకు ఒక విషయం చెప్పనా? నేను ఆఫీసులో చాలా బిజీగా ఉన్నాను, కాబట్టి నువ్వు విల్ ని అడగచ్చు కదా?","You know what? I'm really swamped at work, so, , why don't you, , ask Will?"
"5","హేయ్. నా ఉద్యోగం పోయిందని నీకంటే ముందు అతనికి చెప్పినందుకు సారీ.","Hey. I am sorry that I told him I was fired before I told you."
"6","నేను సారీ. సారీ. సారీ!","I am sorry. I'm sorry. I'm sorry!"
"7","నేను తప్పు చేశాను. సారీ, బేబీ. సారీ!","I made a mistake. I'm sorry, baby. I'm sorry!"
"8","నేను ఇలా ఎన్నిసార్లు చెప్పాలి?","How many times do I have to say it?"
"9","కానీ, నువ్వు ఇలా అరిచావంటే, అది క్షమాపణ కింద లెక్క కట్టలేము.","Okay, if you yell, it doesn't count as an apology."
"10","నేను సారీ.","I'm sorry. I'm sorry. I'm sorry."
"11","సరే.","Okay."
"12","ఈ అలక ఇంకా ఎంత కాలం ఉంటుంది?","How long is this gonna go on for?"
"13","నాకు తెలియదు. భవిష్యత్తు గురించి చెప్పే క్రిస్టల్ బంతి నా దగ్గర లేదు.","I don't know. I don't have a crystal ball."
"14","అయితే, రాత్రి విందు వేళకి ఇంటికి వచ్చేస్తావుగా?","So, I'll see you at home for dinner?"
"15","రావచ్చు. రాకపోవచ్చు.","Maybe. Maybe not."
"16","నిజానికి, లేదు. నేను తన హోమ్ వర్క్ కి సాయం చేస్తానని ఫ్రాన్సిస్ కి చెప్పాను, కాబట్టి రాత్రి తొమ్మిది గంటల లోపే వస్తాను.","Actually, no. I-I-I told Frances I would help her with her homework, so I'll be back no later than 9:00."
"17","సరే. సరే.","Okay. Okay."
"18","సరే.","Okay."
"21","సరే, చూడబోతే మనం రెండు వందల గంటలుగా పని చేస్తున్నట్లు అనిపిస్తోంది. నాకు ఆకలి వేస్తోంది.","Well, this is easily 200 billable hours. I am hungry."
"22","మనం బహుశా ఆరు నిమిషాల పాటు విందు చేస్తూ ఇంక్రిమెంట్లు పొందాలి.","We should probably spend some six minute increments having dinner."
"23","వెనెసా, ఏం చేద్దాం? సీఫుడ్ తిందామా లేదా మాంసం తిందామా?","Vanessa, what will it be? Surf or turf?"
"24","నాకు తెలియదు. డ్యూపాంట్ మనకి డబ్బులు ఇస్తాడు కాబట్టి, రెండూ తెప్పించుకుందామా? సీఫుడ్ ఇంకా మాంసం కూడా.","Um, I don't know. Since Dupont's paying for it, what if we did both? Ooh, surf and turf."
"25","చార్లీ, నీ పనిని మీ ఇంట్లో పూర్తి చేస్తావు అనుకున్నాను?","Charlie, I assume you'll be finishing your work at home?"
"26","మీకు ఒక విషయం చెప్పనా? నేను ఈ రాత్రి మీతో కలిసి ఈ పని పూర్తయ్యే వరకూ ఉంటాను.","You know what? I am gonna stay and push through with you guys tonight."
