Index,Telugu Text,Mapped English Text
1,"నాకు తెలియడం లేదు. ఇది, అంటే ఇది మరీ 2010 నాటిదిలా ఉందా?","I don't know. Is this, like Is it too 2010?"
2,"నిజంగా, బేబీ, ఇది దుస్తులకు సంబంధించి కాదు.",", seriously, babe, it is not the clothes."
3,ఒక ఉద్యోగం ఇంటర్వ్యూలో అభ్యర్థి ఎలా డ్రెస్ చేసుకున్నారో ఎవ్వరూ పట్టించుకోరు.,Nobody cares how a person is dressed in a job interview.
4,"కర్క్ ఫ్రీడ్కిన్ కేవలం, నిన్ను కలవడానికే ఎక్కువ ఉత్సాహం చూపిస్తున్నాడు.","Kirk Friedkin is just, you know, excited to meet you."
5,ఒక మగవాడు అది తేలికగానే చెప్పేయగలడు.,That's so easy for a man to say.
6,"ఓహ్, బాబు. ఇప్పుడు ఆడజాతి గురించి పాఠాలు వినాలి. అవును, నువ్వు వినాలి.",", boy. I'm about to get womansplained. Yeah, you are."
7,మా వస్త్రధారణ ఎంపికలో ప్రతీదీ క్షణ్ణంగా పరిశీలిస్తారు. మా షూస్ నుంచి లిప్ స్టిక్ వరకూ.,We get dissected for every wardrobe choice. From our shoes to our lipstick.
8,"ఇది ఎలా చెప్పాలంటే, ""స్థిరంగా ఉండాలి, కానీ మరీ స్థిరంగా కాదు.","This has to say ""assertive, but not too assertive."
9,"స్ట్రాంగ్ గా ఉండాలి, కాని మరీ స్ట్రాంగ్ గా కాదు. ఆత్మవిశ్వాసంతో ఉండాలి కానీ మరీ ఆత్మవిశ్వాసంతో కాదు.""","Strong but, not too strong. Confident, but not too confident."""
10,ఈ డ్రెస్ అది చెబుతోందా?,Does this say that?
11,"అవును. అది ఏం చెబుతోంది అంటే, ""యువ ఏంగెలా మెర్కెల్"" అంటోంది.","Yes. It says, ""young Angela Merkel."""
12,మరెప్పుడూ అలా అనకు. ఇలా చూడు!,Don't say that again. Come on!
13,ఈ ప్రపంచంలోనే ఆమె అతి శక్తిమంతమైన మహిళ.,She is the most powerful woman in the world.
14,నేను షాపింగ్ కి వెళ్తున్నా. నా దుస్తులన్నీ పాతవి అయిపోయాయి.,I'm going shopping. All my clothes are old.
15,నువ్వు బెల్లా హదీద్ అని చెప్పి ఉండాల్సింది.,You should've said Bella Hadid.
16,దేవుడా. ఇక్కడ ఎంత సేపటి నుండి నిలబడ్డావు?,Jesus. How long have you been standing there?
17,నాకు తెలియదు. కొద్ది సేపటి నుండి.,I don't know. A while.
18,తను మరీ మౌనంగా ఉంటోంది.,She's too quiet.
19,ఏదో రోజు మనం శృంగారం చేస్తుండగా కూడా వచ్చేసేలా ఉంది. నాకు తెలుసు. తనకి అలా చూడాలని ఉండచ్చు కూడా.,She's gonna walk in on us one day. I know. It's almost like she wants to.
20,ఇది ఒక సూట్.,It's a suit.
21,నేను.,I.
22,అది మంచి విషయం.,That's a good thing.
23,కాదా?,No?
24,సరే. ఇది కూడా ఒక సూట్.,Okay. That is also a suit.
25,ఇది మరీ ఏంగెలా మెర్కెల్ లా ఉందా?,Is it too Angela Merkel?
26,పూర్తిగా.,Totally.
27,ఆమె ఎవరు?,Who is that?
28,"అది ఇబ్బందికరమైన ప్రశ్న, కదా? అదే సూట్ కదా?","This is a trick question, right? Same suit?"
29,మిగతా వాటికన్నా దీని ధర నాలుగు రెట్లు ఎక్కువ.,This costs four times as much as the other ones.
30,"అయితే, నువ్వు అదే కొనాలి. కదా?","Well, then you have to buy that one. Right?"
31,దీనితో పాటు షర్ట్ కూడా ఇస్తారా?,Does it come with the shirt?
32,"ఇది అద్భుతంగా ఉంది, కదా?","It's amazing, right?"
33,ఇది ఒక సూట్.,It's a suit.
34,నేను అలా అనిపించుకోవాల్సిందే.,I deserve that.
35,సారీ.,I'm sorry.
39,సిల్వియా గ్రీవ్స్?,Sylvia Greeves?
40,అవును.,Yes.
41,ఈ వైపు రండి. హాయ్.,[receptionist] Right this way. Hi.
42,మిమ్మల్ని కలవడం సంతోషంగా ఉంది. మిమ్మల్ని కూడా.,Nice to meet you. You too.
43,మీరు ఇక్కడ ఎంతకాలం నుండి పని చేస్తున్నారు?,And how long have you been working here?
47,"ఓహ్, దేవుడా. కర్క్ ఫ్రీడ్కిన్ ఫోన్ చేస్తున్నాడు.",", my God. It's Kirk Friedkin."
48,మాట్లాడు. నాకు చాలా భయంగా ఉంది.,Answer it. I'm too scared.
49,ఫోన్ మాట్లాడు.,Pick it up.
50,"హలో, సిల్వియా గ్రీవ్స్ మాట్లాడుతున్నాను. మీరు ఎవరితో మాట్లాడాలి అనుకుంటున్నారు?","Hello, Sylvia Greeves speaking. How may I direct your call?"
51,"ఓహ్, అవును. హలో, కర్క్. మిమ్మల్ని కలవడం మీ మాట వినడం సంతోషంగా ఉంది. మీ మాట వినడం గొప్పగా ఉంది.",", yes. Hello, Kirk. Nice to see hear from you. Um, great to hear your voice."
52,వావ్! ఇది చాలా థ్రిల్లింగ్ గా ఉంది. నేను పూర్తిగా.,", wow! That's so thrilling. I'm absolutely."
