"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:11,513","00:00:17,226","- ఇదిగో, తెచ్చేశాను. - సరే, సరే. ఫ్యామిలీ మూవీ నైట్, పిల్లలూ.","- [parent 1] Okay, here we go. [sighs] - Okay, okay. Family movie night, guys."
"2","00:00:17,227","00:00:18,310","- అవును. - ఏం సినిమా చూద్దాం?","- Yeah. - What we gonna watch?"
"3","00:00:18,311","00:00:21,480","- మనం అందరం ఒకే అంగీకారానికి రావాలి. - నాకు ఎమోజీ మూవీ చూడాలని ఉంది.","- We've all gotta agree on something. - I wanna watch The Emoji Movie."
"4","00:00:21,481","00:00:24,024","- సరే. - చూడు. దాన్ని ఎనిమిది వేల సార్లు చూశావు.","- [parent 2] Okay. - [sighs] Come on. You've seen it 8,000 times."
"5","00:00:24,025","00:00:26,860","అవును, స్వీటీ, నేను ఆ ఎమోజీ మూవీని ఇంకోసారి చూడగలను అనుకోను.","Yeah, sweetie, I really don't think I can watch The Emoji Movie again."
"6","00:00:26,861","00:00:28,529","కానీ నాకు అదే చూడాలని ఉంది.","But that's what I wanna watch."
"7","00:00:28,530","00:00:29,613","ఇన్ సైడ్ అవుట్ చూద్దామా?","What about Inside Out?"
"8","00:00:29,614","00:00:31,574","- చాలా ముద్దుగా ఉంటుంది. నాకు కాదు. - సరే.","- It's so cute. It's not for me. - [parent 1] Okay."
"9","00:00:31,575","00:00:33,367","- నీకు నచ్చుతుంది. - నీకు మళ్లీ చూడాలనిపిస్తుంది.","- I think you'll like it. - You just wanna watch it again."
"10","00:00:33,368","00:00:34,702","నువ్వు ఎప్పుడూ ఏడుస్తావు.","You always tear up."
"11","00:00:34,703","00:00:36,412","ఎమోజీ మూవీ, ఎమోజీ మూవీ!","Emoji Movie, Emoji Movie!"
"12","00:00:36,413","00:00:38,080","- జాన్ విక్ సినిమా చూద్దామా? - ఏంటి?","- How about John Wick? - What?"
"13","00:00:38,081","00:00:40,082","- మనం జాన్ విక్ చూడటం లేదు, సైమన్. - లేదు, మనం చూడటం...","- We're not watching John Wick, Simon. - No. We're not watching..."
"14","00:00:40,083","00:00:41,959","- నువ్వు ఎలా అనుకుంటావు... లేదు. - ఏంటి? లేదు.","- How do you... No. - What? No."
"15","00:00:41,960","00:00:43,919","అయితే, ఏదైనా కొత్త సినిమా వచ్చి ఉంటుంది కదా. నన్ను చూడనివ్వండి.","Well, maybe there's something new that came out. Let me check."
"16","00:00:43,920","00:00:45,170","మంచి ఐడియా.","Good idea."
"17","00:00:45,171","00:00:48,174","- సరే. - ఎమోజీ మూవీ, ఎమోజీ మూవీ!","- Okay. - [child 1] Emoji Movie, Emoji Movie!"
"18","00:00:48,675","00:00:49,676","ఓహ్, వోహ్.","Oh, whoa."
"19","00:00:50,552","00:00:51,552","- ఏంటి? - ఏంటి?","- What? - [Simon] What?"
"20","00:00:51,553","00:00:53,596","- విల్ విడాకులు తీసుకుంటున్నాడు. - విల్ ఎవరు?","- Will's getting a divorce. - Who's Will?"
"21","00:00:53,597","00:00:56,640","- విల్ విడాకులు తీసుకుంటున్నాడా? - అవును. ఆడ్రే ఇప్పుడే తన ఇంస్టాలో పోస్టు పెట్టింది.","- Will's getting a divorce? - Yeah. Audrey just posted it on her Insta."
"22","00:00:56,641","00:00:58,851","- విల్ అంటే ఎవరు? - ఆగు, ఆ విషయం నీకు తెలియదా?","- [Simon] Who's Will? - Wait, you didn't know that?"
"23","00:00:58,852","00:01:01,479","- లేదు. అతనితో నేను మాట్లాడి చాలాకాలం అయింది. - విల్ ఎవరు?","- No. I haven't spoken to him for so long. - Who's Will?"
"24","00:01:01,479","00:01:03,814","అతను ఒక నా పాత స్నేహితుడు, బుజ్జీ.","[stammers] He's a... [stammers] ...old friend of mine, honey."
"25","00:01:03,815","00:01:06,108","ఒకప్పుడు విల్ అమ్మకి ప్రాణస్నేహితుడు.","There was a time when Will was Mommy's best friend."
"26","00:01:06,109","00:01:08,569","- అంటే, మాజీ ప్రియుడి లాగా? - లేదు. కేవలం ఫ్రెండ్.","- Like, an ex? - No. Just a friend."
"27","00:01:08,570","00:01:10,195","కొన్ని లాభాలతోనా?","With benefits?"
"28","00:01:10,196","00:01:13,115","- లేదు. అయ్యో. ఏంటి? ఎలాంటి లాభాలు లేవు. - లేదు.","- No. Ew. What? No benefits. - No."
"29","00:01:13,116","00:01:16,577","అవును. నిజానికి, మా పెళ్లిలో అమ్మకి మెయిడ్ ఆఫ్ హానర్ గా విల్ వ్యవహరించాడు.","Yeah. In fact, Will was your mom's maid of honor at our wedding."
"30","00:01:16,578","00:01:18,996","ఫ్యామిలీ మూవీ నైట్ కోసం మనం ఏం సినిమా చూస్తున్నాం?","[Simon] What are we watching for family movie night?"
"31","00:01:18,997","00:01:20,748","- ఎమోజీ మూవీ, ఎమోజీ మూవీ. - నా వల్ల కాదు. నేను...","- Emoji Movie, Emoji Movie. - I can't. I..."
"32","00:01:20,749","00:01:23,042","నేను ఎమోజీ మూవీని మళ్లీ చూడలేను. నా వల్ల కాదు.","I can't watch The Emoji Movie again. I just can't."
"33","00:01:23,043","00:01:25,419","- బేబీ, నీకు ఎందుకు అంత పట్టుదల? - అందులో లిపి తప్ప ఏమీ ఉండదు.","- Oh, babe, why do you care? - It's a movie about fonts."
"34","00:01:25,420","00:01:26,670","- హాలొవీన్ చూస్తే? - వద్దు.","- How about Halloween? - [child 3] No."
"35","00:01:26,671","00:01:27,922","- అది విషయమే కాదు. - మాట్లాడే లిపులు.","- It doesn't matter. - Talking fonts."
"36","00:01:27,923","00:01:29,465","- మలం ఎమోజీ! - అది తప్పు.","- Poop emoji! - [parent 1] It's wrong."
"37","00:01:29,466","00:01:33,385","మనం తక్కువ సేపు కలుసుకుంటాం. - మలం ఎమోజీ! - దాహ్మెర్ ఎలా ఉంటుంది?","- We have so little time together. - [children chattering] - Poop emoji! [chuckles] - What about Dahmer?"
"38","00:01:33,386","00:01:34,678","- నేను... - దాహ్మెర్?","- [parent 1 exclaims] No. - Dahmer?"
"39","00:01:34,679","00:01:36,138","ఎందుకు చూడకూడదు? మనం దాహ్మెర్ చూడచ్చు.","Why not? We should watch Dahmer."
"40","00:01:36,139","00:01:37,339","- దాహ్మెర్? సరే. - అవును.","- Dahmer? Okay. - [Simon] Yeah."
"41","00:01:38,016","00:01:39,336","మనం ఏం చేయబోతున్నామో నాకు తెలుసు.","I know what we're gonna do."
"42","00:01:42,312","00:01:44,022","మలం ఎమోజీ.","[chuckling] Poop emoji."
"43","00:01:45,982","00:01:47,651","**[NO TELUGU MATCH FOUND]**","[inhales deeply, sighs]"
"44","00:01:48,401","00:01:51,070","- నువ్వు విల్ కి ఫోన్ చేయాలి. - అతనికి నేను ఫోన్ చేయడం ఇష్టం ఉండదు.","- You should call Will. - I'm the last person he'd wanna hear from."
"45","00:01:51,071","00:01:57,534","నువ్వు ఎక్కువ ఊహించుకుంటున్నావు. అతను నువ్వు ఫోన్ చేస్తావని చూస్తున్నాడేమో. నాకు తెలియదు. కొన్ని సంవత్సరాలుగా మేము మాట్లాడుకోవడం లేదు.","You're overthinking it. He probably really wants to hear from you. [sighs] I don't know. We literally haven't spoken to each other in years."
"46","00:01:57,535","00:02:00,287","మేము చాలా ఘోరమైన పరిస్థితులలో విడిపోయాం. అతని భార్య నన్ను ద్వేషిస్తుంది.","We parted on the worst terms. His wife hated me."
"47","00:02:00,288","00:02:02,728","- నువ్వు ఆమెని ద్వేషించేదానివి. - అది, అంత తేలికైన విషయం కాదు.","- You hated her. - Well, it wasn't that simple."
"48","00:02:02,958","00:02:06,252","అతనికి ఆడ్రే సరిపడదని ముందే చెప్పాను, తరువాత ఆమెని పెళ్లి చేసుకున్నాడు.","I told him I thought Audrey was terrible for him, and then he married her."
