"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:11,470","00:00:12,554","అటెన్షన్!","Ah-ten-hut!"
"2","00:00:16,975","00:00:18,268","కూర్చోండి, జెంటిల్మెన్.","At ease, gentlemen."
"3","00:00:31,406","00:00:37,287","సరిగ్గా ఏడాది కిందట ఇదే రోజు, ఎయిత్ ఎయిర్ ఫోర్స్ మొదటిసారిగా పూర్తి స్థాయిలో వాయుసేన దళాన్ని పంపించింది.","Exactly one year ago to the day, the Eighth Air Force sent up its first maximum effort."
"4","00:00:38,664","00:00:42,376","అది పన్నెండు బి-17 విమానాల సామూహిక దాడి.","It was a combined force of 12 B-17s."
"5","00:00:46,672","00:00:52,678","ఈ రోజు, ఎయిత్ ఎయిర్ ఫోర్స్ మళ్లీ పూర్తిస్థాయిలో మూడు ఎయిర్ టాస్క్ ఫోర్స్ లని పంపించబోతోంది.","Today, the Eighth will be sending up a max effort with three air task forces."
"6","00:00:52,761","00:00:58,517","-అవును. -మొత్తంగా 376 భారీ బాంబర్లనీ ఇంకా 240 ఫైటర్లని పంపించబోతోంది.","- Yeah. - Totaling 376 heavy bombers and 240 fighters."
"7","00:00:58,600","00:00:59,434","-తక్కువ కాదు, హా? -అవును.","- Not bad, huh? - Yeah."
"8","00:00:59,518","00:01:03,313","ఇంత భారీ సంఖ్యలో యుద్ధవిమానాల సమూహం దాడికి దిగడం మానవజాతి చరిత్రలో ఇదే మొదటిసారి.","That's the largest air armada ever assembled in the history of mankind."
"9","00:01:03,397","00:01:04,272","అవును!","Yeah!"
"10","00:01:04,355","00:01:05,357","అవును!","Yes!"
"11","00:01:07,776","00:01:15,909","ఇప్పుడు, మనం మొదటి టాస్క్ ఫోర్స్ గా ఉండి రేగెన్స్ బర్గ్ లో మెసెర్ ష్మిట్ 109 ఇంజన్ అసెంబ్లీ కర్మాగారం లక్ష్యంగా దాడులు చేస్తాం.","Now, we will be in the first task force targeting the Messerschmitt 109 engine assembly plant in Regensburg."
