"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:11,637","00:00:13,180","కంపు కొట్టే చెత్త వెధవ.","Stinking sack of shit."
"2","00:00:13,263","00:00:14,848","దయచేసి అలాంటి భాష మాట్లాడకు.","Please don't use language like that."
"3","00:00:14,932","00:00:16,433","దయచేసి నీ సెక్రెటరీ తో సెక్స్ చెయ్యకు.","Please don't fuck your secretary!"
"4","00:00:16,517","00:00:18,460","సరే, పద. పద, వెళ్దాం.","Okay, come on. Let's go."
"5","00:00:18,852","00:00:21,688","లేదు, ఇంకా నేను అప్పుడే రాలేను. నేను వాడి తల నరికేయాలి!","No, I'm not ready. I still have to rip his head off!"
"6","00:00:21,772","00:00:23,774","కాదు, ఇప్పుడు కాదు. మనం చాలా దూరం వెళ్ళాలి.","No, not now. We have a long way to go."
"7","00:00:23,857","00:00:30,030","డేనియల్, సమయాభావం వలన నీ తలని నువ్వే నరుక్కో. నోరు, మూసుకో, మార్టీ. దయచేసి మర్యాదగా మాట్లాడు.","Daniel, in the interest of time, maybe you could rip your own head off. Fuck you, Marty. Please, watch language."
"8","00:00:30,113","00:00:31,365","ధన్యవాదాలు.","Thank you."
"9","00:00:32,908","00:00:34,159","నన్ను క్షమించు.","I'm sorry."
"10","00:00:35,410","00:00:36,411","నన్ను క్షమించు.","I'm so sorry."
"11","00:00:36,495","00:00:38,372","క్షమాపణ చెప్పాల్సిన అవసరం లేదు.","There's no need to apologize."
"12","00:00:38,914","00:00:40,415","నువ్విది ఎప్పుడో చేసి ఉండాల్సింది.","You should've done this years ago."
"13","00:00:48,048","00:00:49,716","నేను పెద్ద మూర్ఖురాలిని.","I am such an idiot."
"14","00:00:49,800","00:00:51,260","నువ్వు మూర్ఖురాలివి కాదు.","You're not an idiot."
"15","00:00:52,052","00:00:53,929","నువ్వు మా అందరిలానే దద్దమ్మవి.","You're just a schmuck like the rest of us."
"16","00:00:55,305","00:00:56,306","అవునా?","Right?"
"17","00:00:58,725","00:01:01,770","సరే, మీరందరూ ఒక సాహసం కోసం సిద్ధంగా ఉన్నారా?","All right, guys, you ready for an adventure?"
"18","00:01:03,146","00:01:04,147","పదండి వెళ్దాం.","Blast off."
"19","00:01:27,462","00:01:29,882","ఎవరికైనా రేడియో వినాలని ఉందా?","Would anyone like to listen to the radio?"
"20","00:01:33,343","00:01:34,344","నాకు వినాలనుంది.","I think I would."
