"Index","Telugu Text","Mapped English Text"
"1","వెనక్కి తిరుగు.","Turn around."
"1","హ్యాండ్స్ అప్!","Hands up!"
"2","చూడండి.","Well, well."
"3","నేను అనుమానించినట్టే జరిగింది.","Just as I suspected."
"4","కాస్త అలోచించి ఉంటే, నిజం ముందే బయటపడేది, అవునా?","Kind of obvious when you think about it, huh?"
"5","నాకు కాదు, బాస్.","No for me, boss."
"5","అలా జరుగుతుందని నేను అనుకోలేదు.","I no see that coming."
"6","ఆలిబై ఉన్న ఎవరైనా ఎప్పుడూ అనుమానితులే, మార్కోవిట్జ్.","Anyone with an alibi is always a suspect, Markowitz."
"7","మీకీ విషయాలు ఎలా తెలుసు, సర్?","How do you know these things, jefe?"
"8","ఆగు.","Wait."
"8","నేను సహాయకుడినా?","I'm the sidekick?"
"9","అవును.","Yes."
"9","నువ్వు సహాయకుడివి.","You're the sidekick."
"10","మీకు చాలా ధన్యవాదాలు.","Thank you so much."
"10","నాకు ఏమనాలో తెలియడం లేదు.","I I don't know what to say."
"11","పరవాలేదు.","You're welcome."
"11","ఇప్పుడు, మనం మళ్ళీ మొదలు పెడదామా?","Now, should we go back to the top?"
"12","ఆ?","Yeah?"
"12","సరే.","Okay."
"13","చూశావా?","Well, well."
"14","సరిగ్గా నేను ఊహించినట్టే జరిగింది.","Just as I suspected."
"15","దాని గురించి ఆలోచిస్తే.","Kind of obvious when."
"16","ఈ యాస ఎందుకు?","Why the accents?"
"17","నువ్వు ప్యూర్టో రికన్ వి.","You're Puerto Rican."
"19","హే.","Hey."
"19","బానే ఉంది.","Not bad."
"20","అదుగో.","There you go."
"20","సరే.","Okay."
"22","చూశావా?","Well, well."
"23","సరిగ్గా నేను ఊహించినట్టే జరిగింది.","Just as I suspected."
"24","అతనా వ్యక్తి కళ్ళ నుంచి వెలుగు పోవడం చూశాడు అతని శరీరం నుంచి ప్రాణం పోవడం అతను తన గాబర్డీన్ ప్యాంట్లలో మలవిసర్జన చేసేలా చేసింది.","He watched the light fade from the man's eyes, the withdrawing of the life-force from the body seeming to coincide with the evacuation of his bowels into his gabardine slacks."
"25",""" అతని గాబర్దీన్ ప్యాంట్లలోకి.",""" into his gabardine slacks."
"25","""",""""
"26","ఆపై వెంటనే.","Before long."
