"Index","Telugu Text","Mapped English Text"
"4","ఎంత బాగున్నావో చూడు.","Aw, look at you."
"6","నిన్ను చూస్తే చాలా గర్వంగా ఉంది, బేబీ.","I am so proud of you, baby."
"7","నువ్వు ఖచ్చితంగా అదరగొట్టేస్తావు. థాంక్స్, బుజ్జీ.","You are gonna knock it out of the park. Thanks, boo."
"9","హేయ్. అమ్మ బాగుంది కదా?","[Charlie] Hey. Doesn't Mom look good?"
"10","సరే.","Okay. [chuckles]"
"11","నిన్ను చూస్తే చాలా గర్వంగా ఉంది, బేబీ.","I am so proud of you, babe."
"12","నువ్వు ఖచ్చితంగా అదరగొట్టేస్తావు. థాంక్యూ, బేబీ.","You are gonna knock it out of the park. Aw. Thank you, baby."
"13","రెండు చేతులతో పట్టుకో, సైమన్! రెండు చేతులు. థాంక్యూ. సారీ, నా ఉద్దేశం అది కాదు.","Two hands, Simon! Two hands. Thank you. Sorry, didn't mean."
"14","హేయ్. హాయ్.","Hey. Hi."
"15","హాయ్, హాయ్, హాయ్. హాయ్.",", hi, hi, hi. , hi."
"16","సరే. ఉంటాను, పిల్లలూ. బై. ఈ రోజు నీకు బాగుండాలి.","Okay. Bye, guys. Bye. Have a good day."
"17","ఉంటాను, స్వీటీ.","Bye, sweetie. [kisses]"
"18","డాంగ్. ఎల్.ఎ. లా! నువ్వు బాగున్నావు!","Dang, LA Law! You look good!"
"19","వెనక్కి తిరుగు. వెనక్కి తిరుగు సరే.","Give me a turn. Give me a t Yeah. [chuckles]"
"21","నాకు నిజంగా నెర్వెస్ గా ఉంది. అది పిచ్చితనం అంటావా? లేదు! ఇది చాలా పెద్ద విషయం.","I'm really nervous. Is that silly? No! This is a really big deal."
"22","నాకు ఎలా ఉందంటే తోటి ఉద్యోగులతో కలిసి పని చేయడానికి నేను ఎంతో ఎదురుచూస్తున్నాను, తెలుసా?","I'm, like I can't wait to just have coworkers again, you know?"
"23","అంటే, సరదా జోకులు.","Like, inside jokes."
"24","అవును, అంటే కలిసి భోజనాలు చేయడం. మంచి స్నేహితులతో గడపడం, తెలుసా?","Yeah, like, going to lunch. Like camaraderie, you know?"
"25","వాటర్ కూలర్ దగ్గర ముచ్చట్లు. నిజం.","Watercooler talk. Yeah."
"26","నాతో మాత్రమే మాట్లాడటం కాదు. లేదు! లేదు, కానీ నా ఉద్దేశం నీకు తెలుసు.","Not having only me to talk to. No! No, but you know what I mean."
"27","అవును. ఆహ్ హా. నేను ఈ సందర్భం కోసం కలలు కన్నాను.","Yeah. This is the moment I've been dreaming of."
"28","సరే. హాయ్.ఆంజీ, ఆంజీ! సారీ. త్వరగా చెప్పేస్తాను.","Okay. [chuckles] Hi. Angie, Angie! [Angie] So sorry. Um, just quickly."
"29","నేను ఈ రోజు పికప్ కోసం రాలేను.","I won't be at pickup today"
"30","కాబట్టి ఈ రోజు మా అత్తగారు వచ్చి మేవీని తీసుకువెళతారు. అవును. నిజానికి నేను.","so my mother-in-law is gonna pick up Maeve today. Yes. I'm actually going."
"31","ఈ రోజు ఉద్యోగానికి వెళ్తున్నాను, కాబట్టి సరే. థాంక్స్, సిల్వియా.","I'm going back to work today, so Okay. Thanks, Sylvia."
"32","సరే. థాంక్స్.","Yeah. Thanks."
"33","సరే, చెప్పావు ఇంక, తనకి తెలిసింది.","Yeah, you told I mean, now she knows."
"34","ఆమెకి తెలియదు. నేను చాలా బిజీగా ఉన్నాను సరే, సరే. తనకి అవసరం.","She didn't know. I've been so busy Yeah, yeah. She needs."
"35","నువ్వు తనకి చెప్పాలి. కదా. ఇంకా తను నేను నిజంగా.","You had to tell her. Right. and sh I Clearly."
"36","మనం ఇప్పుడు ఏం చేయాలి? నేను ఉద్యోగానికి వెళ్లాలి.","What should we go do now? I gotta go to work."
"37","చెత్త. అవును.","Shit. [Sylvia] Yeah."
"40","నాకు కొన్ని భయలు ఉన్నాయని మాత్రమే అంటున్నాను.","I'm just saying I have concerns."
