"Index","Telugu Text","Mapped English Text"
"7","ఏంటి?","What?"
"8","""నువ్వు బాగానే ఉన్నావా?"" అని అడిగా, అవును, నేను బాగానే ఉన్నాను.","[Ms. Cobel] I said, ""Are you all right?"" Yeah, I'm fine."
"9","బహుశా నువ్వు మీ అక్కతో మాట్లాడాలేమో. ఇది చాలా ముఖ్యమైన నిర్ణయం.","Maybe you should talk to your sister. It's an important decision."
"10","నా అక్కనా? అవును.","My sister? Yes."
"11","మార్క్? చెప్పండి.","Mark? Yeah."
"12","నువ్వు బాగానే ఉన్నావా?","Are you sure you're okay?"
"13","బాగానే ఉన్నాను. మన్నించాలి, నాకు నాకు కాస్త తల తిరిగినట్టుగా అనిపించింది, ఆ తర్వాత.","Yes. I'm sorry, I just, I got a little woozy and then, um."
"14","నేను బాత్రూమ్ కి వెళ్లి వస్తాను.","I'm gonna stop by the bathroom."
"15","ఆహా. అది అటు వైపు ఉంది.","I think it's the other way."
"16","అవును.","Right."
"20","నాకు సెనేటర్స్ అంటే ఎక్కువ అసహ్యమో, కాంగ్రెస్ మెన్ అంటే ఎక్కువ అసహ్యమో తెలియట్లేదు.","[Natalie] I don't know if I hate senators or congressmen more."
"21","హా?","[Helly]"
"22","ఎన్ని తాగావేంటి?","How many of those have you had?"
"23","ఇదొక్కటే.","[Helly] Just this one."
"24","మంచిది. నువ్వు చురుకుగా ఉండాల్సిన అవసరం ఉంది. మనం వేదిక ఎక్కాలి. ఇంకా 20 నిమిషాలు మాత్రమే ఉంది.","Good. We need you nimble. We gotta get down there. You're on in 20."
"25","ఇందాక నేను బోర్డుతో మాట్లాడాను. నువ్వు చేస్తున్న దానికి వాళ్లు చాలా ఆనందం వ్యక్తం చేశారు.","I was on with the Board earlier. They're really grateful for this."
"26","గ్యాబీ. నాటలీ, హలో.","Gabby. Natalie, hello."
"27","హాయ్.","Hi."
"28","ఓహ్, గ్యాబీ, తను హెలెనా ఈగన్.",", Gabby, this is Helena Eagan. [chuckles]"
"29","ఓరి దేవుడా. హెలెనా, ఎట్టకేలకు మిమ్మల్ని కలుసుకున్నందుకు నాకు చాలా ఆనందంగా ఉంది.","My gosh. Helena, so good to finally meet you."
"30","నాకు కూడా.","Likewise."
"34","దీన్ని విజయవంతం చేయండ్రా, దరిద్రులారా.","This better be working, assholes."
"37","నేను ఎక్కడ ఉన్నాను?","Where am I?"
"38","మార్క్. నువ్వు బాగానే ఉన్నావా, మహారాజా?","[Devon] Mark. You okay, milady?"
"39","రిబెక్ దగ్గర వింత వాసన వస్తోంది.","So Rebeck smells weird."
"40","అవునా?","Rebeck smells weird?"
"41","అవును, తను ఏదో నములుతున్న శబ్దాలు చేస్తోంది, కానీ తను ఏమీ నమలట్లేదు.","Yeah, she was making chewing noises, but she was not chewing."
