"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:12,554","00:00:13,555","ఎవరు మీరు?","[Mark] Who are you?"
"2","00:00:16,391","00:00:17,809","నాతో రండి.","[mysterious person] Come with me."
"3","00:01:11,655","00:01:14,950","పీటీ ఫోన్ ని మీరు ఎప్పుడో పారేసి ఉండవచ్చు. కానీ అలా చేయలేదు, ఎందుకు?","[mysterious person] You could've thrown away Petey's phone weeks ago. Why didn't you?"
"4","00:01:15,033","00:01:17,703","మన్నించాలి, కానీ... అసలు ఎవరు మీరు?","I'm sorry, just... Who are you?"
"5","00:01:17,786","00:01:19,621","మీ స్నేహితుడికి సాయపడిన వ్యక్తిని నేను.","I'm the one who helped your friend."
"6","00:01:20,539","00:01:22,916","సాయమా? అంటే ఏకీకరణ చేయడం ద్వారానా? దాని వల్లనే అతను చనిపోయాడు.","Helped? You mean reintegration? It killed him."
"7","00:01:23,000","00:01:25,002","పీటీ చనిపోయింది దాని వల్ల కాదు.","The procedure didn't kill Petey."
"8","00:01:25,085","00:01:29,631","చికిత్స తర్వాత పాటించమని నేను చెప్పిన సూచనలని పాటించి ఉంటే ఏమీ జరిగేదు కాదు, కానీ అతను ఇలా జ్వరం తగిలిందో లేదో, వెంటనే పారిపోయాడు...","If he had followed my post-op instructions and not simply run away at the first sign of sickness..."
"9","00:01:29,715","00:01:31,341","అయితే, మీరు... డాక్టర్ ఆ?","So, you... you... You're a doctor?"
"10","00:01:33,594","00:01:38,098","మీ తలలో ఆ చిప్ ని పెట్టిన వ్యక్తిని నేను, దాన్ని డీయాక్టివేట్ చేయగల ఏకైక వ్యక్తిని కూడా నేనే.","I put that chip in your head, and I'm still the only one who can deactivate it."
"11","00:01:46,648","00:01:48,483","బహుశా దాన్ని డీయాక్టివేట్ చేసుకోవాలని నాకు లేదేమో.","Maybe I don't want it deactivated."
"12","00:01:49,151","00:01:52,070","అవును. కానీ మీ పని అవతారానికి కావలసింది అదేనేమో.","Right. Well, maybe your innie does."
"13","00:01:52,738","00:01:56,533","దీన్నంతటి గురించి అతను ఏమనుకుంటున్నాడో, అసలు ఆనందంగా ఉన్నాడో లేదో అని ఎప్పుడైనా ఆలోచించారా?","You wonder what he thinks about all this, don't you? You wonder if he's happy?"
"14","00:01:57,284","00:02:00,537","నాకు ఆ ""పని అవతారం"" అనే పదమే నచ్చదు. ఏదో మీరందరూ స్కూల్ పిల్లల్లాగా.","I hate that term, ""innie."" So infantilizing."
"15","00:02:01,663","00:02:04,291","అయినా మీపై వేర్పాటు పద్ధతి జరిగి రెండేళ్లేగా అయింది?","Then again, you've been severed for two years, right?"
"16","00:02:04,374","00:02:06,668","అయితే మీ పని అవతారం నిజంగానే స్కూల్ పిల్లోడులే.","So your innie really is still just a baby."
"17","00:02:08,211","00:02:13,717","నా పని అవతారానికి సొంతంగా ఒక జీవితం ఉంది, ఆ కారణంగా, నేను నా జీవనం సాగించగలుగుతున్నాను.","My innie lives his own life and, as a result, I get to live mine."
"18","00:02:15,093","00:02:17,721","కానీ మీరు ఉన్నారు కాబట్టే అతను కూడా ఉన్నాడు.","But he only exists because of you."
"19","00:02:17,804","00:02:20,933","ఏ విధంగా చూసుకున్నా, అతను మీరూ ఒక్కటే.","And for all intents and purposes, he is you."
"20","00:02:23,810","00:02:25,854","అతను అక్కడ వేరుగా ఉంటారని మీకు అనిపిస్తోందా?","Do you really think he's different down there?"
"21","00:02:26,688","00:02:29,650","జుట్టు వేరేగా దువ్వుకుంటాడు, లేకపోతే వేరే జోకులకు నవ్వుతాడు అనుకుంటున్నారా?","Combs his hair differently, laughs at different jokes?"
"22","00:02:30,901","00:02:32,986","మీరు అన్నట్టు అతనికి అక్కడి జీవితం నచ్చే ఉండవచ్చు.","Maybe he loves it, you're right."
"23","00:02:33,612","00:02:35,030","నచ్చనూ ఉండకపోవచ్చు.","But maybe he doesn't."
"24","00:02:36,365","00:02:40,410","బహుశా ప్రతిరోజూ దాని నుండి ఎలా బయటపడాలని ఆలోచిస్తున్నాడేమో.","Maybe he dreams every day about clawing his way to the surface."
"25","00:02:42,538","00:02:46,875","కానీ అది మీకు తెలీదు. ఎప్పటికీ తెలీదు.","But you wouldn't know. You'll never know."
"26","00:02:49,294","00:02:57,553","మీ స్వార్థం కోసం, భావావేశంగా మీరు బాగుండటానికి, అతని అనుమతి లేకుండానే అతడిని ఆ నరకంలోకి వదిలేశారు.","You brought him into this world without his permission, based on your own desire for emotional convenience."
"27","00:03:01,807","00:03:03,392","నేనేమీ చెడ్డ వాడిని కాదు.","I'm not a bad person."
"28","00:03:04,393","00:03:06,645","మీరు సరైన పనే చేయాలనుకుంటున్నారు అనుకుంటా.","I think you wanna do what's right."
"29","00:03:08,438","00:03:09,523","మీ ఇద్దరూ కూడా.","Both of you."
"30","00:03:12,276","00:03:13,277","**[NO TELUGU MATCH FOUND]**","[door closes]"
"31","00:03:14,570","00:03:15,737","మిస్టర్ స్కౌట్.","Mr. Scout."
"32","00:03:17,489","00:03:18,490","**[NO TELUGU MATCH FOUND]**","Uh..."
"33","00:03:19,783","00:03:21,118","ఎవరు మీరు?","Do I know you?"
"34","00:03:21,201","00:03:24,955","మనిద్దరం సహోద్యోగులం. ఆఫీసులో.","We work together. Down there."
"35","00:03:28,876","00:03:31,170","ఎవరితో అయినా మాట్లాడుతున్నావా, మార్క్?","You having a chat with someone, Mark?"
"36","00:03:34,006","00:03:36,717","పర్లేదులే. నేను స్నేహితుడిని అనుకొని చెప్పు.","- Um… - It's okay. I'm a friend."
