"Index","Telugu Text","Mapped English Text"
"1","**[NO TELUGU MATCH FOUND]**","[waves lapping]"
"2","**[NO TELUGU MATCH FOUND]**","[seagulls squawking]"
"3","సాల్ట్స్ నెక్ సందర్శించినందుకు ధన్యవాదాలు!","**[NO ENGLISH MATCH FOUND]**"
"4","**[NO TELUGU MATCH FOUND]**","[addict coughing]"
"5","**[NO TELUGU MATCH FOUND]**","[sniffs]"
"6","**[NO TELUGU MATCH FOUND]**","[inhales, exhales deeply]"
"7","**[NO TELUGU MATCH FOUND]**","[coughs]"
"8","**[NO TELUGU MATCH FOUND]**","[spits, inhales sharply]"
"9","**[NO TELUGU MATCH FOUND]**","[phone buzzing]"
"10","డెవన్ స్కౌట్","**[NO ENGLISH MATCH FOUND]**"
"11","**[NO TELUGU MATCH FOUND]**","[""Who Knows"" playing]"
"12","**[NO TELUGU MATCH FOUND]**","[""Who knows"" continues through stereo]"
"13","**[NO TELUGU MATCH FOUND]**","[sighs]"
"14","నార్త్ పైన్ లో జరిగిన యవ్వారం గురించి విన్నావా?","You hear about that clusterfuck up on North Pine?"
"15","డచ్ స్టీవెన్స్ పిల్లోడి గురించే కదా.","[waiter] Dutch Stevens' kid."
"16","రెండు టన్నుల బరువు ఉండే స్నో ప్లోని అసలెలా తిప్పాడు?","How the fuck do you flip a two-ton snow plow?"
"17","వెర్రి ఉంటే అంతే.","[waiter] With stupidity."
"18","వాడి అమ్మానాన్నలు అలా ఉన్నారు మరి.","The apple don't fall far from the gutter."
"19","మంచివాడివి అబ్బా నువ్వు.","[customer] Well, that's kind of you."
"20","ఇది ఫ్రీ.","[waiter] On the house."
"21","థ్యాంక్యూ.","Thank you."
"22","హేయ్, రోజ్.","Hey, Rose."
"23","ఇంకొంచెం పోయనా?","You want a refill?"
"24","ఎప్పుడు పోసినా కాదంటానా?","You can top me off anytime."
"25","నీ కొత్త హెయిర్ స్టయిల్ నాకు నచ్చింది.","I like the new do."
"26","**[NO TELUGU MATCH FOUND]**","[Rose chuckles]"
"27","అదిరింది.","Très chic."
"28","**[NO TELUGU MATCH FOUND]**","[wind whistles]"
"29","హార్మనీ కొబెల్.","Harmony Cobel."
"30","ఓరి నాయనోయ్.","Well, flip my toboggan."
"31","కాఫీ కావాలా?","You want coffee?"
"32","వద్దు.","No."
"33","ఈ టేబుల్స్, ఏమైనా తీసుకొని డబ్బులిచ్చే కస్టమర్ల కోసమని వేశాం.","Tables are for paying customers."
"34","సరే. అయితే నాకు కాఫీ కోనివ్వు.","Fine. Then buy me a coffee."
"35","ఈ ఊరు చాలా అంటే చాలా పాతది.","The town is older than I remember."
"36","చాలా బలహీనంగా ఉంది.","Frailer."
"37","హా, కొన్నేళ్ల క్రితం మార్కెట్ లో ఒడిదుడుకులు చోటు చేసుకున్నాయి, వడ్డీ రేట్లు ఊరికే మారుతూ ఉన్నాయి, కాబట్టి కొందరు ప్రధాన ఇన్ఫ్రాస్ట్రక్చర్ పెట్టుబడిదారులు ఖర్చులు తగ్గించేశారు.","Yeah, well, with the market readjustment from a few years ago and the fluctuating interest rates, there was a retrenchment from some of the core infrastructure investments."
"38","నువ్వు నాకొక పని చేసిపెట్టాలి.","I need a favor."
"39","కానీ ఇక్కడ కాదు.","But not here."
"40","ఫ్యాక్టరీ దగ్గర కలువు.","Meet me at the factory."
"41","- హేయ్, డాట్. షాప్ నువ్వే బంద్ చేయి. - అలాగే.","- [waiter] Hey, Dot. Close up for me. - [Dot] Sure."
"42","**[NO TELUGU MATCH FOUND]**","[""Where Do We Go From Here"" playing]"
"43","ద డ్రిప్పీ పాట్ కెఫే","**[NO ENGLISH MATCH FOUND]**"
"44","**[NO TELUGU MATCH FOUND]**","[""Where Do We Go From Here"" continues on radio]"
"45","లూమన్ ఇండస్ట్రీస్","**[NO ENGLISH MATCH FOUND]**"
"46","**[NO TELUGU MATCH FOUND]**","[seagulls squawking]"
"47","నన్ను ఇక్కడికి రమ్మనడం ఎంత దారుణమైన పనో తెలుసా?","You know how fucked it is to ask me to come here?"
"48","నన్ను నువ్వు సిస్సీ ఇంటి దగ్గర దింపాలి.","I need you to drive me to Sissy's."
"49","**[NO TELUGU MATCH FOUND]**","Oh."
"50","కుదరదు.","No, thanks."
"51","వాళ్ళు ఇంటిపై ఓ కన్నేసి ఉంచుంటే, నా కారును గుర్తు పట్టేస్తారు.","If they're watching the house, they'll recognize my car."
"52","ఎంత పెంటలో ఇరుక్కున్నావమ్మా నువ్వు?","How much trouble are you in?"
"53","చాలా.","Enough."
"54","తను ఇంకా ఆ తొమ్మిది సూత్రాల ప్రకరామే నడుచుకుంటోందని తెలుసా?","You know she still lives by the nine?"
"55","తనలానే ఉంటుందని ఊహించా.","I assumed."
"56","అలాంటప్పుడు తనని ఇక్కడ శత్రువుగా చూస్తారని నీకు తెలిసే ఉండాలి.","Then you know she's a fucking pariah here."
