"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:10,340","00:00:18,309","డెవన్! లేదు, లేదు. వినండి, మేమేమీ ఆనందంగా లేము. మా బతుకులు దారుణంగా ఉన్నాయి. బర్ట్!","Devon! No, no, no. Listen, we're not happy. We're miserable. Burt!"
"2","00:00:18,310","00:00:24,399","వాళ్లు అక్కడ మాకు నరకం చూపిస్తారు! డెవన్! - మేము ఖైదీలం! - బర్ట్! తను బతికే ఉంది!","They torture us down there! Devon! - We're prisoners! - Burt! She's alive!"
"3","00:02:25,395","00:02:27,648","సంరక్షణ విభాగం","**[NO ENGLISH MATCH FOUND]**"
"4","00:03:31,253","00:03:33,172","మ్యాక్రోడేటా రిఫైన్మెంట్","**[NO ENGLISH MATCH FOUND]**"
"5","00:03:39,340","00:03:40,971","నీ పేరు మార్క్ ఎస్ అనుకుంటా.","I suppose you're Mark s."
"6","00:03:42,890","00:03:44,975","- నేను... - నా పేరు మార్క్ డబ్ల్యూ.","- I... - I'm Mark w."
"7","00:03:48,770","00:03:49,771","ఎవరు మీరు?","Who are you people?"
"8","00:03:53,440","00:03:57,112","మనిద్దరి పేర్లు ఒకేలా ఉన్నాయి కాబట్టి, గందరగోళాన్ని నివారించడానికి, నిన్ను వేరే పేరుతో పిలిచినా, నీకు పర్వాలేదా?","Would you be open to using a different first name to avoid confusion?"
"9","00:03:58,570","00:04:00,365","పునఃస్వాగతం, మార్క్ ఎస్.","Welcome back, Mark s."
"10","00:04:05,120","00:04:06,121","చాలా కాలమైంది నిన్ను చూసి.","Been a minute."
"11","00:04:14,830","00:04:15,880","ఎవరు వాళ్లు?","Where are they?"
"12","00:04:15,880","00:04:24,180","నీకు ఏవైనా ప్రశ్నలు ఉంటే, వాటిని మనం మేనేజ్ మెంట్ ఆఫీసుకు వెళ్లాక అడిగితే మంచిది. వాళ్లని ఉద్యోగంలోంచి తీసేశారా? బెలూన్లను నా పాత డెస్క్ దగ్గర ఉండే వాకిలిలో వదిలేయవచ్చు.","I think it's best to save any queries till we arrive at the management office. Were they fired? You can leave the balloons in the foyer by my old desk."
"13","00:04:24,180","00:04:35,900","మనం చాలా విషయాల గురించి మాట్లాడుకోవాలి, అవి ఉంటే నీ ఏకాగ్రతకు భంగం కలగవచ్చు. చెప్తున్నా కదా, వాటిని ఎవరూ తీసుకోరు. మిస్టర్ మిల్చెక్, దయచేసి చెప్పు. మీరందరూ అయిదు నెలల కిందట ఏవైతే చేశారో, వాటి వల్ల ఈ సంస్థకు ఎప్పుడూ ఎదురుకానంత గడ్డు పరిస్థితి ఎదురైంది. అయిదు నెలలా?","We've much to discuss, and I don't want them distracting you. I assure you, they won't be taken. Mr. Milchick, please. What you all did five months ago was one of the most painful moments in the history of this company. Five months?"
"14","00:04:35,901","00:04:44,450","నేను కూడా చాలా బాధపడ్డాను. కానీ కష్టాలు ఎదురైతేనే కదా, మనం ఇంకా బలంగా రాటుదేలగలిగేది? ఒక్క నిమిషం, నువ్వు ఇందాక నీ పాత ఆఫీసు అని అన్నావా?","I, too, was wounded by it. But we must be cut to heal, mustn't we? Wait, did you say your old office?"
"15","00:04:44,450","00:04:48,539","మార్క్, ఈమె మిస్ హ్వాంగ్. మిస్ హ్వాంగ్, ఇతను మార్క్ ఎస్. హలో.","Mark, this is miss huang. Miss huang, Mark s. Hello."
"16","00:04:49,660","00:04:51,834","మనం మాట్లాడుకుంటూ ఉన్నప్పుడు, నీ బెలూన్లను తను చూసుకుంటుందిలే.","She'll be happy to mind your balloons while we chat."
"17","00:04:53,370","00:04:54,378","ఇలా రా, మార్క్.","Right this way, Mark."
"18","00:05:00,130","00:05:01,176","తలుపు మూసేయ్.","You can shut it."
"19","00:05:04,340","00:05:07,683","తను చిన్నపిల్లలా ఉంది, పర్వాలేదా... అంతా గందరగోళంగా ఉంది, ఏమనుకోకు.","Is it normal for a child to... excuse the clutter."
"20","00:05:14,640","00:05:15,858","సరే. అసలేం జరుగుతోంది ఇక్కడ?","Okay. What's happening?"
"21","00:05:17,690","00:05:19,778","మిస్ కొబెల్ ఇప్పుడు ఈ సంస్థలో పని చేయట్లేదు.","Ms. Cobel is no longer with this company."
"22","00:05:20,610","00:05:22,197","ప్రత్యేకమైన అంతస్థును ఇప్పుడు నేనే చూసుకుంటున్నా.","I now manage the severed floor."
"23","00:05:23,650","00:05:24,658","మరి నా బృందం సంగతేంటి?","What about my team?"
"24","00:05:26,360","00:05:27,369","మేమేమీ వాళ్లని పనిలోంచి తీసేయలేదు.","We didn't fire them."
"25","00:05:29,280","00:05:34,334","హెల్లీ ఆర్. ఇంకా అర్వింగ్ బీ. నీలాగే విజయవంతంగా బయటి వారితో సంప్రదింపులు జరపగలిగారు.","Helly r. And Irving b. Both successfully made contact with persons on the outside, just as you did."
"26","00:05:35,040","00:05:38,005","డిలన్ జీ.కి చెందిన పనియేతర అవతారం, ఆ సంఘటన తర్వాత ఏం జరిగిందో తెలుసుకున్నాడు.","Dylan g.'S outie learned what happened after the fact."
"27","00:05:38,920","00:05:42,301","మీ నలుగురికీ అంతర్జాతీయ స్థాయిలో మంచి గుర్తింపు లభించింది.","The four of you have achieved international fame."
"28","00:05:43,590","00:05:49,474","ఒక బృందంగా, మీరు వేర్పాటు పద్ధతి సంస్కరణకు బాటలు వేసిన వారిగా పేరు సంపాదించారు. ""పని అవతారాలు"" అంతా బయటపెట్టారు - వేర్పాటు పద్ధతి సంస్కరణ... - కూర్చో, మార్క్.","As a group, you've become known as the face of severance reform. - Severance ref... - Have a seat, Mark."
"29","00:05:50,220","00:05:54,980","నువ్వు తిరుగుబాటు చేయబోయే ముందే నిన్ను ఎండిఆర్ లో ఉంచడానికి మేము సెక్యూరిటీ ద్వారాలను అమర్చాం.","Shortly before your mutiny, we installed security doors to keep you in mdr."
"30","00:05:55,730","00:05:59,860","దాని తర్వాత నీకు శిక్షగా మిస్ కొబెల్ నీ చేత కియర్ పద్యాన్ని చదివించారు.","This accompanied a punitive rendition of the kier hymn performed by Ms. Cobel."
"31","00:06:00,610","00:06:01,695","అది నీకు గుర్తుందా?","Do you recall?"
"32","00:06:03,030","00:06:04,031","గుర్తుంది.","I do."
"33","00:06:10,370","00:06:12,664","ఒక జంతువులా నిన్ను నేను ఒక గదిలో బంధించాను, మార్క్.","I locked you in a room like an animal, Mark."
"34","00:06:14,080","00:06:17,503","వేర్పాటు పద్ధతి నాపై జరగలేదు, కాబట్టి ఆ జ్ఞాపకాలు నేను జీవించి ఉన్నంత కాలం నన్ను వెంటాడతాయి.","As an unsevered man, I'll carry that knowledge the rest of my life."
"35","00:06:19,790","00:06:26,553","కానీ గత అయిదు నెలలుగా, హార్మనీ కొబెల్ వంటి ఒక శాడిస్ట్, పవిత్రమైన లూమన్ ఆవరణలో ఎలా ఎదగగలిగిందని పునరాలోచిస్తూ ఉన్నాం.","But for the past five months, we've been asking how a sadist like Harmony cobel could take fertile root in lumon soil."
"36","00:06:27,130","00:06:28,555","అలా ఎదగనిచ్చామంటే మేము ఎలాంటి వాళ్లం!","And what that says about us."
"37","00:06:30,840","00:06:35,854","మీ అక్క ఇంట్లో, నీ పని అవతారం మేల్కొన్నప్పుడు మిస్ కొబెల్ అక్కడే ఉండిందని కూడా మాకు తెలుసు.","We also know Ms. Cobel was at your sister's home when you awoke there."
"38","00:06:36,730","00:06:39,691","అవును. దానికి కారణం ఏంటి?","Yeah. Why was that?"
