"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:26,360","00:00:27,945","రౌపెల్ స్ట్రీట్","**[NO ENGLISH MATCH FOUND]**"
"2","00:00:28,028","00:00:30,280","**[NO TELUGU MATCH FOUND]**","[siren wailing]"
"3","00:00:36,245","00:00:37,579","ఎట్టకేలకు!","[Zeppo] Finally!"
"4","00:00:37,663","00:00:40,249","బ్లాక్ టీ అంటేనే వెగటు పుట్టే పరిస్థితి వచ్చేసింది.","Couldn't face the idea of black tea."
"5","00:00:40,791","00:00:43,460","అది దారుణమైనది. దారుణాతి దారుణమైనది.","You know it's a crime. It's an absolute fucking crime."
"6","00:00:43,544","00:00:45,671","గురూ, నేను దాహంతో చచ్చేలా ఉన్నాను.","Mate, I am a thirsty boy."
"7","00:00:45,671","00:00:49,800","వద్దు, వద్దు. ఆగు. కాస్త ఆగు. వాటిలో వద్దు. అది ఈపాటికి చల్లగా అయి రుచి మారిపోయి ఉంటుంది.","No, no. Hang on. Hang on. Not in those. They're all cold and stewed, aren't they?"
"8","00:00:49,800","00:00:51,043","మరి వీటిని బయటే ఎందుకు ఉంచావు?","Why'd you leave 'em out then?"
"9","00:00:51,093","00:00:53,095","నువ్వు తొందరగా వచ్చేస్తావనుకున్నా, మహానుభావా.","Because I thought you'd be quicker, didn't I?"
"10","00:00:53,095","00:00:54,888","నేను వీధి చివరి దాకా వెళ్లాల్సి వచ్చింది.","I had to go right down the high street."
"11","00:00:54,972","00:00:58,475","ఇటు వైపు వెళ్తే మూలనే ఒక కొట్టు ఉంది కదరా, చచ్చినోడా.","Well, you know there's a corner shop the other way, you dozy twat."
"12","00:00:58,559","00:01:01,436","మరెక్ కి అయితే అది అస్సలు నచ్చదు. మరెక్ ఎవడు?","- Oh, Marek wouldn't like that. - Oh, Marek wouldn't like that. Who's Marek?"
"13","00:01:01,520","00:01:04,772","మేము సైట్స్ లో పని చేసేటప్పుడు రేడియో ఆపరేటర్ గా పని చేసేవాడు. పోలాండ్ వాడు.","Spark we used to work with on the sites. Polish."
"14","00:01:04,857","00:01:08,277","ముందు పాలు, ఆ తర్వాత టీ. మీ ఇంగ్లీష్ వాళ్లకి ఆ విషయం ఎందుకు అర్థం కాదు?","[imitating Marek] Milk first and then tea. How do you English not understand this?"
"15","00:01:08,277","00:01:10,612","ఎలా అయినా ఒకటే కదా, కానీ వాడికి దానికే చిర్రెత్తుకొచ్చేది.","It makes no difference, but he'd lose his shit over it."
"16","00:01:10,696","00:01:13,490","హేయ్. ఎలా అయినా ఒకటే ఎలా అవుతుందిరా, సన్నాసీ?","Hey. Of course it makes a difference, you fucking ponce."
"17","00:01:13,574","00:01:16,660","టీ బ్యాగ్, నీళ్లు, పాలు, అదే వరుసలో వేయాలి. అంతే కదా?","Bag, water, milk, in that fucking order. Yes?"
"18","00:01:16,660","00:01:18,161","మీ సైట్స్ లో చాలా మంది పోలాండ్ వాళ్లు ఉండేవాళ్ళా?","A lot of Poles on your sites?"
