Index,Details,Telugu,English,Status
1,t(16)-e(17) | ...?..?..?...... vs ....?..?..?......,"అవును, నీ పేరు మళ్లీ చెప్పు. సారీ. ఆలిస్ సింక్లెయిర్. అయితే, నువ్వు చెప్పేదాని ప్రకారం, ఆలిస్, ఇది ఖచ్చితంగా సాయం కోరుతూ చేసిన కాల్ అంటావా లేదు, మేము అంటున్నది లేదా మీరు ఇంకా ఖచ్చితంగా చెప్పలేకపోతున్నారా? ఎందుకంటే అవి రెండు వేర్వేరు భిన్నమైన విషయాలు, ఆలిస్. మేము అనేది, నన్ను కాసేపు మాట్లాడనిస్తే, ఆ విమానం ప్రయాణమార్గం మళ్లడం ఇంకా అనుమానాస్పదమైన కమ్యూనికేషన్ల కారణంగా, కెఎ29 విమానం ప్రమాదంలో ఉందని చెప్పడానికి చాలా బలమైన కారణాలు కనిపిస్తున్నాయి. అనుమానాస్పదమైన కమ్యూనికేషన్లా? స్పందించకపోవడం, పైలెట్ చేసిన ప్రకటనలలో వైరుధ్యాలు ఉండటం, ఇప్పుడు ఈ సమయానికి, 8:07 గంటలకి, మాకు తెలిసిన సమాచారం ఇదే. కానీ మనం ఆందోళన పడటానికి ఇది సరిపోతుంది. నిజం, అయితే, నేను నా పై అధికారులకు చెప్పాలేమో? అవును, మా సలహా కూడా అదే. ఏమైనా సందేహాలు ఉంటే మిమ్మల్ని సంప్రదిస్తాం. అలాగే ఏదైనా సున్నితమైన సమాచారం ఉన్నా చెప్పండి. సరే. థాంక్యూ, ఆలిస్. సంతోషం.","Yeah, tell me your name again. Sorry. Alice Alice Sinclair. So, you're saying, Alice, that this is a definite SOS call No. No, we're saying Or that you're still not sure? Because they both are two very different things, Alice. We're saying, if you let me speak, that due to its changing course and unusual communications, that there is a stronger chance than ever that flight KA29 is in danger. Unusual communications? Failure to respond, contradiction in statements made by the pilot, and as of whatever it is now, 8:07, that's all we've got. But it's enough to have us worried. Right, so so, I'm taking this higher? Yeah, that would be our suggestion. Coming to you with any questions. Also very sensible. Okay. Thank you, Alice. You're welcome.",MISMATCH
10,t(3)-e(4) | ..? vs ...?,"కూర్చో. ప్రమాదం కొని తెచ్చుకోకు. హేయ్, అంతా బాగానే ఉందా?",Sit. Don't make trouble. Hey. Is everything all right?,MISMATCH
31,t(4)-e(3) | ...? vs ..?,కానీ ఆయనకి ఎలా తెలిసింది? అని మిగతా ప్రయాణికులు అడుగుతున్నారు. ఆయనకి తెలుసు ఎందుకంటే నిశ్శబ్దం! నిశ్శబ్దం! ఆయన ఈజిప్టు మిలటరీలో ముప్పై యేళ్లు పని చేశాడు. ఎందుకంటే అతను ఎప్పుడూ హైజాకింగ్ వ్యవహారాలు పరిష్కరించేవాడు. వద్దు! నన్ను మాట్లాడనివ్వు! అతను దేని గురించి అరుస్తున్నాడు?,But the other passengers are asking how does he know? He knows because Quiet! Quiet! Because he was in the Egyptian military for thirty years. Because he dealt with hijackings all the time. No! You let me speak! What's he shouting about?,MISMATCH
43,t(3)-e(2) | ..? vs .?,"పి.ఎల్.ఓ. లేదా మరెవరైనా హైజాక్ చేసిన ఘటనల్లో, వాళ్లు ఎప్పుడూ అసలైన బులెట్లు వాడటం తను చూడలేదు అంటున్నాడు. ఎప్పుడూ ఖాళీ తుపాకులేనా?","He says in the hijacks he dealt with by the PLO, or whoever, they never had live rounds. Always blanks?",MISMATCH
90,t(3)-e(2) | ... vs ..,"అది నిజం. 34వేల డిగ్రీల ఎత్తులో స్థిరంగా ప్రయాణిస్తున్నాము. 2-9, మీరు దాదాపు 19 కిలోమీటర్ల దూరం దారి తప్పారు.","That is correct. Maintaining an altitude of 34,000 2-9, you are 12 miles outside your airway.",MISMATCH
130,t(10)-e(11) | ....?..?.? vs ....?..?..?,"సరే. అయితే మనకి ఇంతవరకూ తెలిసిన సమాచారం ఇదే అన్నమాట. విమానం బయలుదేరిన ముప్పై ఐదు నిమిషాల తరువాత, ఎయిర్ ట్రాఫిక్ కంట్రోల్ కి పైలెట్ ఒక కాల్ చేసి ఖచ్చితమైన భద్రతాపరమైన సమస్య ఉందని చెప్పాడు. తరువాత, ఏడు నిమిషాల తరువాత, పైలెట్ తిరిగి కాల్ చేసి సమస్య పరిష్కారం అయిందని చెప్పాడు. పరిష్కారం అయిందా? తప్పుడు హెచ్చరిక. అది తన పొరపాటు అని, ఎలాంటి సమస్యా లేదని చెప్పాడు. అది జరిగిన మూడు నిమిషాల తరువాత, ఒక ప్రయాణికుడు పంపిన సందేశం అక్కడ ఏదో పరిస్థితి తలెత్తిందని నిర్ధారించింది. అప్పుడు, ఆ విమానం ఇరాక్ గగనతలంలోకి ప్రవేశించగానే, అనూహ్యంగా దారి మళ్లడం మొదలైంది సారీ. ఈ సమాచారం అంతా ఎక్కడి నుండి వస్తోంది? ఇంకా ఇంటర్నెట్ పని చేయడం లేదు. గల్ఫ్ లో ఉన్న ఎయిర్ ట్రాఫిక్ కంట్రోలర్ల నుండి ఈ సమాచారం అందుతోంది. వాళ్లతో ఎవరు మాట్లాడుతున్నారు? స్వానిక్ లో ఫ్లయిట్ పాత్ కంట్రోల్. నిజానికి, ఆలిస్, లైన్ లో ఉన్నావా?","Okay. So this is what we got so far. Thirty-five minutes after departure, the pilot makes a distress call to air traffic control citing a definite security incident. Then, seven minutes later, the pilot calls back saying that the issue's been resolved. Resolved? False alarm. Denied that there was ever a problem, his mistake. Three minutes after that, a passenger sends a text reestablishing the idea that there's an incident. Then, as the plane enters Iraqi airspace, it mysteriously starts diverging Sorry, sorry. Where are you getting all this? , and the internet's down. This is all coming from air traffic controllers in the Gulf. And who's talking to them? Flight path control in Swanick. In fact Alice. Alice, you there?",MISMATCH
150,t(3)-e(4) | ... vs ....,అతడిని వదిలేయ్! అతడిని వదిలేయ్. సరే. వదిలేశాను.,Let him go! Let him go. All right. All right. I am.,MISMATCH
231,t(4)-e(3) | ..?. vs .?.,"జాహ్రా, నేను నా పనిని చాలా బాగా చేస్తాను, కాబట్టి ఏమీ చేయకుండా ఇక్కడ ఊరికే కూర్చోలేను. చూడు, డానియెల్. నేను ఏమీ చేయలేను, సారీ, సరేనా? నేను ఇంక వెళ్లాలి.","Zahra, I'm good at what I do, so I'm not just gonna sit here doing nothing. Look, Daniel, I'm I'm sorry, okay? I've gotta go.",MISMATCH
312,t(7)-e(8) | ....... vs ........,"డానియెల్. పోలీస్ నేషనల్ కంప్యూటర్ లో ఉన్న 216 పేర్లు నేను చూశాను. సీరియస్ క్రిమినల్ రికార్డు ఉన్న వ్యక్తి ఒక్కడే ఒక్కడు కనిపించాడు. అవును. నాకు తెలుసు, నాకు తెలుసు, కాలిన్స్. కాలిన్స్. ఇదీ అసలు విషయం.","Daniel. I ran all the 216 names through the PNC. There's only one that comes up with any sort of serious criminal record. Yes. I know, I know. Collins. Collins. Here's the thing.",MISMATCH
333,t(2)-e(4) | .. vs ....,ఏం చేస్తున్నారు? అవును. సరే.,The fuck are you doing? Yeah. Okay. Okay. Okay.,MISMATCH
