"Index","Telugu Text","Mapped English Text"
"1","**[NO TELUGU MATCH FOUND]**","[crickets chirping]"
"2","**[NO TELUGU MATCH FOUND]**","[vehicle approaching]"
"3","**[NO TELUGU MATCH FOUND]**","[breathing heavily]"
"4","గాడిదగుడ్డు.","Bullshit."
"5","అది ఇంత వెడల్పుగా ఉంది.","It is this friggin' wide."
"6","అలాగే దానికి క్రమం ఉంది.","And it's periodic."
"7","గాడిద. గుడ్డు.","Bull. Shit."
"8","నాకు చూపించు.","Show me."
"9","**[NO TELUGU MATCH FOUND]**","[both breathing heavily]"
"10","**[NO TELUGU MATCH FOUND]**","[exhales, sniffles]"
"11","ఇది ఖచ్చితంగా ఏదో భూమి నుండి వెళ్ళిందే.","Something terrestrial, gotta be."
"12","చంద్రుడిని తాకి వెనక్కి వస్తోంది.","Bouncing off the moon."
"13","అబ్బో. అలా నాకు అనిపించలేదు మరి.","Gee. I never thought to check that."
"14","ఒకసారి అది ఏటవాలుగా ఎలా ఉందో చూడు, బాబు.","Look at that slope, man."
"15","నిలబడితే సర్రుమని జారిపోయేలా ఉంది.","You could ski down that thing."
"16","అది జారుతోంది.","It is drifting."
"17","ఇక్కడ చూడు. జూమ్ చెయ్. జూమ్ చెయ్.","Look here. Zoom in. Zoom in."
"18","ఆ తేడాని చూసావా?","See that variation?"
"19","అలాగే చూడు. ఇక్కడ ఉన్న ఖాళీ? అది ఇక్కడ ఆగుతుంది, తర్వాత మళ్ళీ మొదలవుతుంది.","And look. This gap here? This is where it stops, then starts over."
"20","- అలా రిపీట్ అవుతుందా? - ప్రతీ 78 సెకన్లకు ఒకసారి.","-It repeats? -Every 78 seconds."
"21","ప్రారంభం నుండి చివరి వరకు.","The whole entire thing."
"22","వరుసగా మూడు గంటల నుండి విరామం లేకుండా వస్తోంది.","Three hours straight, and no end in sight."
"23","ఇది అసాధ్యం.","It can't be."
"24","**[NO TELUGU MATCH FOUND]**","[chuckles, snorts]"
