"Index","Telugu Text","Mapped English Text"
"1","నాకు తెలియడం లేదు.","I don't know."
"1","ఇది, అంటే ఇది మరీ 2010 నాటిదిలా ఉందా?","Is this, like Is it too 2010?"
"2","నిజంగా, బేబీ, ఇది దుస్తులకు సంబంధించి కాదు.",", seriously, babe, it is not the clothes."
"3","ఒక ఉద్యోగం ఇంటర్వ్యూలో అభ్యర్థి ఎలా డ్రెస్ చేసుకున్నారో ఎవ్వరూ పట్టించుకోరు.","Nobody cares how a person is dressed in a job interview."
"4","కర్క్ ఫ్రీడ్కిన్ కేవలం, నిన్ను కలవడానికే ఎక్కువ ఉత్సాహం చూపిస్తున్నాడు.","Kirk Friedkin is just, you know, excited to meet you."
"5","ఒక మగవాడు అది తేలికగానే చెప్పేయగలడు.","That's so easy for a man to say."
"6","ఓహ్, బాబు.",", boy."
"6","ఇప్పుడు ఆడజాతి గురించి పాఠాలు వినాలి.","I'm about to get womansplained."
"6","అవును, నువ్వు వినాలి.","Yeah, you are."
"7","మా వస్త్రధారణ ఎంపికలో ప్రతీదీ క్షణ్ణంగా పరిశీలిస్తారు.","We get dissected for every wardrobe choice."
"7","మా షూస్ నుంచి లిప్ స్టిక్ వరకూ.","From our shoes to our lipstick."
"8","ఇది ఎలా చెప్పాలంటే, ""స్థిరంగా ఉండాలి, కానీ మరీ స్థిరంగా కాదు.","This has to say ""assertive, but not too assertive."
"9","స్ట్రాంగ్ గా ఉండాలి, కాని మరీ స్ట్రాంగ్ గా కాదు.","Strong but, not too strong."
"9","ఆత్మవిశ్వాసంతో ఉండాలి కానీ మరీ ఆత్మవిశ్వాసంతో కాదు.","Confident, but not too confident."
"9","""",""""
"10","ఈ డ్రెస్ అది చెబుతోందా?","Does this say that?"
"11","అవును. అది ఏం చెబుతోంది అంటే, ""యువ ఏంగెలా మెర్కెల్"" అంటోంది.","Yes. It says, ""young Angela Merkel."""
"12","మరెప్పుడూ అలా అనకు.","Don't say that again."
"12","ఇలా చూడు!","Come on!"
"13","ఈ ప్రపంచంలోనే ఆమె అతి శక్తిమంతమైన మహిళ.","She is the most powerful woman in the world."
"14","నేను షాపింగ్ కి వెళ్తున్నా.","I'm going shopping."
"14","నా దుస్తులన్నీ పాతవి అయిపోయాయి.","All my clothes are old."
"15","నువ్వు బెల్లా హదీద్ అని చెప్పి ఉండాల్సింది.","You should've said Bella Hadid."
"16","దేవుడా.","Jesus."
"16","ఇక్కడ ఎంత సేపటి నుండి నిలబడ్డావు?","How long have you been standing there?"
"17","నాకు తెలియదు.","I don't know."
"17","కొద్ది సేపటి నుండి.","A while."
"18","తను మరీ మౌనంగా ఉంటోంది.","She's too quiet."
"19","ఏదో రోజు మనం శృంగారం చేస్తుండగా కూడా వచ్చేసేలా ఉంది.","She's gonna walk in on us one day."
"19","నాకు తెలుసు.","I know."
"19","తనకి అలా చూడాలని ఉండచ్చు కూడా.","It's almost like she wants to."
"20","ఇది ఒక సూట్.","It's a suit."
"21","నేను.","I."
"22","అది మంచి విషయం.","That's a good thing."
"23","కాదా?","No?"
"24","సరే.","Okay."
"24","ఇది కూడా ఒక సూట్.","That is also a suit."
"25","ఇది మరీ ఏంగెలా మెర్కెల్ లా ఉందా?","Is it too Angela Merkel?"
"26","పూర్తిగా.","Totally."
"27","ఆమె ఎవరు?","Who is that?"
"28","అది ఇబ్బందికరమైన ప్రశ్న, కదా?","This is a trick question, right?"
"28","అదే సూట్ కదా?","Same suit?"
"29","మిగతా వాటికన్నా దీని ధర నాలుగు రెట్లు ఎక్కువ.","This costs four times as much as the other ones."
"30","అయితే, నువ్వు అదే కొనాలి.","Well, then you have to buy that one."
"30","కదా?","Right?"
"31","దీనితో పాటు షర్ట్ కూడా ఇస్తారా?","Does it come with the shirt?"
"32","ఇది అద్భుతంగా ఉంది, కదా?","It's amazing, right?"
"33","ఇది ఒక సూట్.","It's a suit."
"34","నేను అలా అనిపించుకోవాల్సిందే.","I deserve that."
"35","సారీ.","I'm sorry."
"39","సిల్వియా గ్రీవ్స్?","Sylvia Greeves?"
"40","అవును.","Yes."
"41","ఈ వైపు రండి.","Right this way."
"41","హాయ్.","Hi."
"42","మిమ్మల్ని కలవడం సంతోషంగా ఉంది.","Nice to meet you."
"42","మిమ్మల్ని కూడా.","You too."
"43","మీరు ఇక్కడ ఎంతకాలం నుండి పని చేస్తున్నారు?","And how long have you been working here?"
"47","ఓహ్, దేవుడా.",", my God."
"47","కర్క్ ఫ్రీడ్కిన్ ఫోన్ చేస్తున్నాడు.","It's Kirk Friedkin."
"48","మాట్లాడు.","Answer it."
"48","నాకు చాలా భయంగా ఉంది.","I'm too scared."
"49","ఫోన్ మాట్లాడు.","Pick it up."
"50","హలో, సిల్వియా గ్రీవ్స్ మాట్లాడుతున్నాను.","Hello, Sylvia Greeves speaking."
"50","మీరు ఎవరితో మాట్లాడాలి అనుకుంటున్నారు?","How may I direct your call?"
"51","ఓహ్, అవును.",", yes."
"51","హలో, కర్క్.","Hello, Kirk."
"51","మిమ్మల్ని కలవడం మీ మాట వినడం సంతోషంగా ఉంది.","Nice to see hear from you."
"51","మీ మాట వినడం గొప్పగా ఉంది.","Um, great to hear your voice."
"52","వావ్! ఇది చాలా థ్రిల్లింగ్ గా ఉంది.",", wow! That's so thrilling."
"52","నేను పూర్తిగా.","I'm absolutely."
"53","చాలా ధన్యవాదాలు.","Thank you so much."
"53","వచ్చే వారం నుంచి మీతో కలిసి పని చేయడానికి నేను సిద్ధంగా ఉన్నాను.","I can't wait to work with you next week."
"54","సరే.","Okay."
"54","ఆల్ ద బెస్ట్.","All the best."
"55","నాకు ఉద్యోగం వచ్చింది! కంగ్రాట్యులేషన్స్!","I got the job! I got the job! ! Congratulations!"
"56","నిన్ను చూసి చాలా గర్వపడుతున్నాను. థాంక్యూ!","I'm so proud of you! Thank you!"
"57","నాకు చాలా అసూయగా ఉంది.","I'm so jealous."
"57","నువ్వు ప్రయత్నించే ముందే ఉద్యోగం రావడం అనేది గొప్ప విషయం.","The best part of getting a job is the time right before you start."
"58","ఉద్యోగం కోసం నువ్వు ఆందోళన చెందాల్సిన అవసరం లేదు, కానీ నిజానికి నీకు ఉద్యోగం కూడా అవసరం లేదు.","You don't have the stress of getting it, but you don't have to actually do the job."
"59","కానీ, నేను ఇంకా అందులో చేరలేదు.","Well, I'm not there yet."
"59","నేను చేరడానికి ముందు చాలా పనులు పూర్తి చేయాలి.","I have so much to organize before I even start work."
"60","పిల్లల్ని చూసుకోవడానికి, వాళ్లని స్కూళ్లలో దింపడానికి నేను ఎవర్నయినా వెతకాలి, స్కూలులో జరిగే ఇతరత్రా శిక్షణల్లో పిల్లల్ని చేర్చించాలి, తెలుసా?","I have to find someone to look after the kids, drive them around and sign them up for every after school thing, you know?"
"61","ఇదంతా పెద్ద మార్పు.","It's a big transition."
"62","ఏంటి?","What?"
