Index,Telugu Text,Mapped English Text
1,ఎవరు మీరు?,[Mark] Who are you?
2,నాతో రండి.,[mysterious person] Come with me.
3,"పీటీ ఫోన్ ని మీరు ఎప్పుడో పారేసి ఉండవచ్చు. కానీ అలా చేయలేదు, ఎందుకు?",[mysterious person] You could've thrown away Petey's phone weeks ago. Why didn't you?
4,"మన్నించాలి, కానీ అసలు ఎవరు మీరు?","I'm sorry, just Who are you?"
5,మీ స్నేహితుడికి సాయపడిన వ్యక్తిని నేను.,I'm the one who helped your friend.
6,సాయమా? అంటే ఏకీకరణ చేయడం ద్వారానా? దాని వల్లనే అతను చనిపోయాడు.,Helped? You mean reintegration? It killed him.
7,పీటీ చనిపోయింది దాని వల్ల కాదు.,The procedure didn't kill Petey.
8,"చికిత్స తర్వాత పాటించమని నేను చెప్పిన సూచనలని పాటించి ఉంటే ఏమీ జరిగేదు కాదు, కానీ అతను ఇలా జ్వరం తగిలిందో లేదో, వెంటనే పారిపోయాడు.",If he had followed my post-op instructions and not simply run away at the first sign of sickness.
9,"అయితే, మీరు డాక్టర్ ఆ?","So, you you You're a doctor?"
10,"మీ తలలో ఆ చిప్ ని పెట్టిన వ్యక్తిని నేను, దాన్ని డీయాక్టివేట్ చేయగల ఏకైక వ్యక్తిని కూడా నేనే.","I put that chip in your head, and I'm still the only one who can deactivate it."
11,బహుశా దాన్ని డీయాక్టివేట్ చేసుకోవాలని నాకు లేదేమో.,Maybe I don't want it deactivated.
12,అవును. కానీ మీ పని అవతారానికి కావలసింది అదేనేమో.,"Right. Well, maybe your innie does."
13,"దీన్నంతటి గురించి అతను ఏమనుకుంటున్నాడో, అసలు ఆనందంగా ఉన్నాడో లేదో అని ఎప్పుడైనా ఆలోచించారా?","You wonder what he thinks about all this, don't you? You wonder if he's happy?"
14,"నాకు ఆ ""పని అవతారం"" అనే పదమే నచ్చదు. ఏదో మీరందరూ స్కూల్ పిల్లల్లాగా.","I hate that term, ""innie."" So infantilizing."
15,అయినా మీపై వేర్పాటు పద్ధతి జరిగి రెండేళ్లేగా అయింది?,"Then again, you've been severed for two years, right?"
16,అయితే మీ పని అవతారం నిజంగానే స్కూల్ పిల్లోడులే.,So your innie really is still just a baby.
17,"నా పని అవతారానికి సొంతంగా ఒక జీవితం ఉంది, ఆ కారణంగా, నేను నా జీవనం సాగించగలుగుతున్నాను.","My innie lives his own life and, as a result, I get to live mine."
18,కానీ మీరు ఉన్నారు కాబట్టే అతను కూడా ఉన్నాడు.,But he only exists because of you.
19,"ఏ విధంగా చూసుకున్నా, అతను మీరూ ఒక్కటే.","And for all intents and purposes, he is you."
20,అతను అక్కడ వేరుగా ఉంటారని మీకు అనిపిస్తోందా?,Do you really think he's different down there?
21,"జుట్టు వేరేగా దువ్వుకుంటాడు, లేకపోతే వేరే జోకులకు నవ్వుతాడు అనుకుంటున్నారా?","Combs his hair differently, laughs at different jokes?"
22,మీరు అన్నట్టు అతనికి అక్కడి జీవితం నచ్చే ఉండవచ్చు.,"Maybe he loves it, you're right."
23,నచ్చనూ ఉండకపోవచ్చు.,But maybe he doesn't.
24,బహుశా ప్రతిరోజూ దాని నుండి ఎలా బయటపడాలని ఆలోచిస్తున్నాడేమో.,Maybe he dreams every day about clawing his way to the surface.
25,కానీ అది మీకు తెలీదు. ఎప్పటికీ తెలీదు.,But you wouldn't know. You'll never know.
26,"మీ స్వార్థం కోసం, భావావేశంగా మీరు బాగుండటానికి, అతని అనుమతి లేకుండానే అతడిని ఆ నరకంలోకి వదిలేశారు.","You brought him into this world without his permission, based on your own desire for emotional convenience."
27,నేనేమీ చెడ్డ వాడిని కాదు.,I'm not a bad person.
28,మీరు సరైన పనే చేయాలనుకుంటున్నారు అనుకుంటా.,I think you wanna do what's right.
29,మీ ఇద్దరూ కూడా.,Both of you.
31,మిస్టర్ స్కౌట్.,Mr. Scout.
33,ఎవరు మీరు?,Do I know you?
34,మనిద్దరం సహోద్యోగులం. ఆఫీసులో.,We work together. Down there.
35,"ఎవరితో అయినా మాట్లాడుతున్నావా, మార్క్?","You having a chat with someone, Mark?"
36,పర్లేదులే. నేను స్నేహితుడిని అనుకొని చెప్పు.,Um It's okay. I'm a friend.
37,అయ్య బాబోయ్!,Shit!
39,ఏం చేస్తున్నారు మీరు?,What the fuck are you doing?
42,వచ్చి చేతులు పట్టుకోండి. ఏంటి?,Grab his arms. [Mark] What?
43,రండి. చేతులు పట్టుకోండి.,Come here. His arms.
44,బాబోయ్. ఓరి నాయనోయ్.,", my God. , my God."
45,అయ్య బాబోయ్. ఓరి దేవుడా.,"[shushes] , fuck! , my God."
46,అయ్యో. అయ్యయ్యో.,"[shushing] [groans] , fuck. , God."
47,నేను ఇతని సహోద్యోగిని.,[shushes] I work with him.
48,కాదు.,"No, you don't."
49,ఇతని పేరు డగ్ గ్రేనర్. ప్రత్యేకమైన అంతస్థులో ఇతను సెక్యూరిటీకి హెడ్.,He's Doug Graner. Head of security on the severed floor.
50,"సెక్యూరిటీయా? చచ్చాన్రా దేవుడా. సరే, నాకు వికారంగా ఉంది, వాంతి వస్తోంది.","Security? , my God. [shushing] Okay, I'm gonna get sick. I need to throw up."
51,వాంతి వచ్చేస్తోంది. వద్దు! వద్దు!,I'm gonna throw up right now. Don't! Don't! Don't!
52,అందులో డీ.ఎన్.ఏ ఉంటుంది.,Your DNA's in that!
53,"ఇదుగో, గ్రేణర్ సెక్యూరిటీ కార్డ్.","[Mark groans] [shushes] Look, Graner's security card."
54,"దీనితో మీరు ఎక్కడికైనా వెళ్లవచ్చు, దీన్ని ఎవరికీ లింక్ చేయలేరు కూడా.","Full access, and it can't be tied to anyone."
55,"రేఫు దీన్ని ఆఫీసుకు తీసుకువెళ్లండి, దీనితో ఏం చేయాలో అతనికి తెలుస్తుంది.",Take it to work tomorrow. He'll know what to do.
56,ఎవరికి?,Who'll know what to do?
57,మీకే.,You.
58,నాకు పీటీ ఫోన్ ఇవ్వండి. ఇలా ఇవ్వండి.,Give me the phone. Petey's phone. Give it to me.
59,ఈ శవం సంగతి నేను చూసుకుంటా.,I'll take care of this.
60,ఇంటికి వెళ్ళండి. మీ బట్టలను ఎక్కడైనా పారేయండి.,"Go home, get rid of your clothes."
61,వెంటనే వెళ్లిపోండి.,Go now.
63,"నేను మిమ్మల్ని సంప్రదిస్తాను. ఏమీ కాదు, మీరు వెళ్లిపోండి.",I'll be in touch. It's gonna be okay.
64,"పీటీ మొదలుపెట్టిన దాన్ని మనం ముగిద్దాం, మార్క్.","We'll finish what Petey started, Mark."
65,ఇక ఇక్కడి నుండి వెళ్లిపోండి!,Now get the fuck out of here!
70,హేయ్. హేయ్.,", hey. Hey."
71,నీళ్లు తాగడానికి వచ్చానంతే. నీకేమైనా కావాలా?,"Just, , getting some water. Do you need anything?"
72,ఎక్కడికి వెళ్లిపోయావు?,Where were you?
73,"ఎవరు, నేనా?","Who, me?"
74,అవును. కేవలం.,Yeah. Just.
75,నాకు కారు శబ్దం వినిపించింది.,I heard the car.
76,అవునా? నువ్వు వింతగా ప్రవర్తిస్తున్నావు.,You heard a car? Um You're being weird.
77,అది నీ కల ఏమో.,", maybe it was just a dream."
78,"నేను లేచి గంట అయింది, నువ్వు లేనే లేవు.","I've been up for an hour, and you weren't here."
80,"సరే, అంటే.","Okay, just [sighs]"
81,"క్షమించు, నేను నేను మనస్సు ప్రశాంతంగా ఉండటానికి అలా బయటకు వెళ్లాను.","I'm sorry, I I, , just needed to drive a little."
82,నువ్వు బాగానే ఉన్నావా?,Are you okay?
83,"అంటే, ఇది నాకు చాలా పెద్ద విషయం కదా. నాకు నాకు ఏమీ అర్థం కావట్లేదు. ఇది.","Well, I mean, this is kind of a big deal for me. And I don't know. It's."
84,నేను వెళ్లిపోనా?,Do you want me to go?
85,అదే మంచిదేమో. అదే మంచిదేమో.,Maybe Maybe.
86,నీ యెంకమ్మ.,Fucking shit.
87,మార్క్!,Mark!
88,హేయ్. ఇంత మంచులో పొద్దునే బయటకు వచ్చావే.,Hey. You're out early in all this snowiness.
89,మామూలుగా మధ్యాహ్నానికి ఇంకాసేపు ఉందనగా చెత్తను వేస్తుంటావు.,You usually dispose of your waste in the early afternoon.
