"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:17,226","00:00:18,227","**[NO TELUGU MATCH FOUND]**","[door opens]"
"2","00:00:20,312","00:00:23,357","**[NO TELUGU MATCH FOUND]**","- [Jason groaning] - [footsteps approaching]"
"3","00:00:24,650","00:00:25,817","**[NO TELUGU MATCH FOUND]**","[grunting]"
"4","00:00:38,872","00:00:40,373","**[NO TELUGU MATCH FOUND]**","[breathes shakily]"
"5","00:00:40,374","00:00:43,836","- వాళ్లు ఎక్కడ ఉన్నారు? - ఏంటి... నేను వచ్చింది నా కుటుంబాన్ని వెతకడానికి.","- Where are they? - Wha... I came looking for my family."
"6","00:00:44,419","00:00:45,838","నీ మాదిరిగానే.","Just... Just like you."
"7","00:00:47,798","00:00:48,799","ఓహ్, అవునా?","Oh, yeah?"
"8","00:00:48,799","00:00:51,092","**[NO TELUGU MATCH FOUND]**","[Jason groaning]"
"9","00:00:51,093","00:00:52,261","హేయ్.","Hey."
"10","00:00:53,470","00:00:55,597","నీకు ఈ దెబ్బ తగిలినప్పుడు నేను అక్కడే ఉన్నాను.","- [screams] - I was there when you got this."
"11","00:00:57,015","00:00:58,976","నువ్వే నన్ను ఇలా చేశావు.","You're the one who did this to me."
"12","00:00:58,976","00:01:00,351","**[NO TELUGU MATCH FOUND]**","[sniffling]"
"13","00:01:00,352","00:01:01,478","మన అందరినీ దెబ్బతీశావు.","To all of us."
"14","00:01:02,271","00:01:06,817","ఎలా చూసినా, నేను కూడా నీ అంత తెలివైన వాడినే, కాబట్టి నువ్వు నాతో పెట్టుకోకు.","At the bare minimum, I'm as smart as you, so don't fuck with me."
"15","00:01:06,817","00:01:07,943","వాళ్లు ఎక్కడ ఉన్నారు?","Where are they?"
"16","00:01:07,943","00:01:09,695","సరే.","[breathing heavily] Okay."
"17","00:01:10,529","00:01:14,533","నేను సారీ చెబుతున్నా. చాలా సారీ...","I'm... I'm sorry. I'm so s..."
"18","00:01:14,533","00:01:17,578","నోరు మూయి. నీ చెత్త క్షమాపణ నాకు అవసరం లేదు.","Fuck you. I don't want your fucking apology."
"19","00:01:18,245","00:01:19,872","వాళ్లు ఎక్కడ ఉన్నారో చెప్పు!","Tell me where they are!"
"20","00:01:20,455","00:01:22,416","ఓహ్, అయ్యో. నాకు తెలియదు.","Oh, fuck. I don't know."
"21","00:01:23,333","00:01:25,586","**[NO TELUGU MATCH FOUND]**","[groaning]"
"22","00:01:27,296","00:01:28,422","ఓహ్, చెత్త.","Oh, fuck."
"23","00:01:28,422","00:01:29,965","వాళ్లు ఎక్కడ ఉన్నారు?","Where are they?"
"24","00:01:30,549","00:01:31,758","డానియేలాకి విషయం తెలిసిపోయింది.","Daniela found out."
"25","00:01:31,758","00:01:33,343","అవును తనకి తెలిసిపోయింది.","- [groans] - Of course she did."
"26","00:01:34,511","00:01:36,305","తనే నన్ను ఈ మెట్ల మీద నుండి కిందికి తోసింది.","She's the one who pushed me down the stairs."
"27","00:01:37,097","00:01:40,726","ఇంకా తను ఇప్పుడు ఎక్కడ ఉందో నాకు తెలియదు. ఒట్టు.","And I... [breathes shakily] I don't know where she is now. I swear."
