Index,Details,Telugu,English,Status
125,t(4)-e(5) | ..?. vs ...?.,"అతను, ""బేబీ, నువ్వు అందంగా ఉన్నావు. బేబీ, నిన్ను మిస్ అవుతున్నా"" అని మెసేజ్ లు పెడతాడు. ఇది, అంటే చాలా ఇబ్బందిగా ఉంటుంది, కదా? అవును.","He's like, ""Babe, you're so beautiful. Baby, I miss you so much."" Aw. It's, like [scoffs] Just so annoying, right? Yeah.",MISMATCH
216,t(2)-e(3) | .. vs ...,"మేమే, అవును. అవును, మేమే.","We are. Yeah. Yes, we are.",MISMATCH
238,t(5)-e(3) | ..?.. vs .?.,డి.టి.ఎల్.ఎ. బేబీ. సరేనా? వావ్. ఆ మార్పు నువ్వు కావాలి.,"DTLA, baby. Right? Wow.",MISMATCH
243,t(4)-e(5) | .... vs .....,"థాంక్యూ, ఇయాన్, వాళ్లని తీసుకువచ్చినందుకు. మరేం ఫర్వాలేదు. హేయ్, సరే. అలాగే.","Thank you, Ian, for showing them in. Not much of it. Hey. Yeah. Okay.",MISMATCH
247,t(3)-e(4) | ... vs ....,"విల్. అవును. నేను ఇంతవరకూ కలవని వారికి చెప్పాలి, నేను ఇక్కడ జానీ 66లో ఫుడ్ కెమిస్ట్రీ విభాగంలో పని చేస్తున్నాను, ఇంకా లక్కీ పెన్నీ టీమ్ తో లావాదేవీలకు నేనే టీమ్ లీడర్ ని.","Will. Yeah. Whoo. [chuckles] For those of you I have not met, I am in the food chemistry division here at Johnny 66, and I'm the lead on the Lucky Penny team.",MISMATCH
270,t(5)-e(4) | ..... vs ....,"ఓహ్, నీకు ఈ ఫోటోలు నచ్చుతాయి. ఇవి తప్పకుండా నీకు నచ్చుతాయి. చాలా ధన్యవాదాలు, మిస్టర్ రెవ్. ఓహ్, లేదు. మిస్టర్ రేవ్ మా నాన్నగారు.","[Katie] , you're gonna love these. [grunts, laughs] Thank you so much, Mr. Rev. , no. Mr. Rev is my father.",MISMATCH
371,t(4)-e(3) | .... vs ...,"ఆయన చాలాసార్లు ""వ్రూమ్, వ్రూమ్"" అంటాడు. ఆహ్ ఓహ్. మీ గురించి కాదు. హేయ్.","He says ""vroom, vroom"" a lot. [chuckles] [laughs] [gasps] Not you. Hey.",MISMATCH
404,t(5)-e(4) | ....? vs ...?,సరే. థాంక్యూ. సరే. నువ్వు మొనగాడివి. నువ్వు చేయగలిగిన దాని గురించి నేను ఏం ఆలోచించానో తెలుసా?,Okay. Thank you. Okay. You're OG [inhales deeply] You know what I've been thinking you could do though?,MISMATCH
408,t(3)-e(2) | ... vs ..,చెత్తలా ఉంది. ఫస్ట్ వన్. ఫస్ట్ నాకు వెంటనే తట్టింది.,S Fuck it First one. F Top of my head.,MISMATCH
461,t(4)-e(5) | ?... vs ??...,"బేబీ, ఇది ఏంటి? ఆపు. ఆపు. నేను.","Babe, what is it? What is it? Stop. Stop. I.",MISMATCH
491,t(2)-e(3) | .. vs ...,అది ఇంకా నిర్ణయించుకోలేదు. నేను రకరకాల అవకాశాల్ని ఆలోచిస్తున్నాను.,"Um, it's undecided. [chuckles] I'm kind of, um, flirting with a few different possibilities. Whoo.",MISMATCH
519,t(3)-e(2) | ... vs ..,"నేను వస్తున్నా దేవుడా. చెత్తవెధవ. బలమైన, బండ వెధవ.","I'm coming You strong, motherfucker. [groans] Butt-fucker.",MISMATCH
