Index,Details,Telugu,English,Status
60,t(2)-e(3) | .. vs ...,ఆమె నా దృష్టిలో చాలా పెద్ద స్థాయిలో ఉంది. అవును.,She's too fancy for me. I know. Yeah.,MISMATCH
90,t(3)-e(4) | ... vs ....,నేను అది విన్నాను. నిజమే. ష్మినీ.,", I've heard that. Yeah. Schminnie. Schminnie.",MISMATCH
93,t(2)-e(3) | ?? vs .??,"అయితే, ఇంకేంటి? ఈ రోజు ఏదైనా ఉత్సాహం కలిగించే పని ఏదైనా చేస్తున్నామా?","Ugh. So, what else? We think of doing anything exciting today?",MISMATCH
126,t(3)-e(2) | ... vs ..,నువ్వు ఈ సమస్య పరిష్కరించగలవు. అయ్యో. నీళ్లు పైకి వస్తున్నాయి.,"You got this. , my God. It's overflowing!",MISMATCH
158,t(2)-e(3) | .. vs ...,"ఓహ్, దేవుడా. వీడి ఐపాడ్ ఇక్కడ ఉంది.","[Sylvia grunts] , my God. There's his iPad. Ugh.",MISMATCH
193,t(2)-e(3) | .. vs ...,ఊరికే వాటిని తరలించాలంటే చాలా సమయం పడుతుంది. నువ్వు ఒక్క రోజులో మార్చేయచ్చు.,"Just You know. Takes a long time to move. , you can do it in a day.",MISMATCH
229,t(2)-e(3) | .. vs ...,"లేదు. హాయ్, లేదు.","No, no, no. Hi. No.",MISMATCH
243,t(2)-e(4) | .. vs ....,దగ్గరగా వచ్చాడు. దీనికి యాభై ఏళ్ల సైకిల్ ఉంటుంది.,Close. Close. It's got the 50-year cycle. You know.,MISMATCH
256,t(2)-e(3) | .. vs ...,అవును. ఇది బహుశా ప్రవేశ గది కావచ్చు.,Yes. Yes. This could be the foyer or.,MISMATCH
267,t(2)-e(7) | .. vs .......,ఇది ఏంటి? మెడిక్. మెడి.,What's this? [alarm blares] [warning announcer] Medic. Medic. Medic. Medic. Medic. Medic. Medi.,MISMATCH
268,t(4)-e(5) | ..?. vs ...?.,"దేవుడా. అందరికీ ఆ బటన్ అంటే ఇష్టం. కానీ మీకు ఒక విషయం తెలుసా? మంచి సంగతి ఏమిటంటే, సీలింగ్ లో వైరింగ్ ఇప్పటికే ఉంది కాబట్టి, మీరు చక్కని సౌండ్ సిస్టమ్ పెట్టుకోవచ్చు.","[Sylvia] Jesus Christ. Whoa. [alarm stops] Everybody loves that button. [chuckling] But you know what? The good thing is, with the wiring in the ceiling, you could just put in a sound system.",MISMATCH
279,t(4)-e(3) | .... vs ...,నేను మామూలుగా గుర్తుంచుకుంటానే. లేదు. అవును. ఆహ్ హా.,[Diane] I think I would remember. No. [Sylvia chuckling] [Diane] Yeah.,MISMATCH
284,t(3)-e(4) | ... vs ....,"అవును, నేను ఆ గదిని కూలగొట్టి పెద్ద డైనింగ్ రూమ్ గా మార్చబోతున్నాను ఇందులో మేము కాలక్షేపం చేస్తాం, ఇంకా అవును. మంచిది. చాలా బాగుంది.","Yeah, I'm gonna knock that wall down and make this the big dining room where we can entertain, and Yeah. Nice. Very cool. Very cool.",MISMATCH
317,t(3)-e(5) | ... vs .....,ఇది చూడు. మెడిక్. దేవుడా! సారీ.,Look at this. [alarm blares] [warning announcer] Medic. Medic. Jesus! Sorry. Sorry.,MISMATCH
318,t(2)-e(4) | .. vs ....,మెడిక్. నువ్వు దాన్ని రెండుసార్లు నొక్కాలి.,Medic. Medic. Medic. You wanna press it twice.,MISMATCH
