Index,Details,Telugu,English,Status
27,t(2)-e(3) | .? vs .??,ప్లాస్టిక్ ఫోర్క్ తో స్టీక్ మాంసం తినడాన్ని నేను మిస్ అవుతున్నాను. ఈ రోజు ఏదైనా ప్రత్యేకమైన సందర్భమా?,"I miss eating steak with a plastic fork. , special occasion, anyone? Ooh?",MISMATCH
39,t(5)-e(6) | ?.... vs .?....,"ఒక విషయం చెప్పనా? వదిలేయ్. అర్ధరాత్రి చార్లీ. సరే, మిత్రులారా. నేను వెళ్లి కలుసుకోవాలి ""ఫ్రెండ్"" అందాము.","Ugh. You know what? Screw it. [Stewart, Vanessa laughing] Late-night Charlie. All right, guys. I gotta go meet a Let's say ""friend.""",MISMATCH
45,t(5)-e(6) | ..... vs ......,సరే. ఇప్పుడు మనం మాట్లాడుకోవచ్చు. సరే. అవును. చాలా బాగుంది.,Okay. Now we're talking. Okay. Yes. Ooh. Very nice.,MISMATCH
70,t(6)-e(7) | ...... vs .......,"ఓహ్, దేవుడా. అదీ. అదీ. నేను బహుశా వెళ్లాలి. అవును. నేను కూడా వెళ్లాలి.","[breathing heavily] , my God. Yeah. Yeah. Yeah. [panting] [Charlie panting] I should prob I should go. Yeah. I, um, me too. [clears throat]",MISMATCH
71,t(2)-e(3) | .. vs ...,నేను ఇంక వెళ్లాలి. అవును.,I should go. I should go. Yes.,MISMATCH
111,t(3)-e(4) | ... vs ....,వెనెసా. తను నీరసంగా నవ్వడం కూడా రానట్లు ఉంటుంది. తనకంటూ ఒక వ్యక్తిత్వం లేనిది.,Vanessa. She's so dull and humorless. Ugh. She's like wallpaper.,MISMATCH
117,t(3)-e(4) | ... vs ....,"మార్నింగ్. పిల్లలు తిని, ముస్తాబయ్యారు, వాళ్ల తలలు దువ్వాను. వాళ్లని స్కూలులో దిగబెడతాను.","[Sylvia] Morning. Morning. Kids are fed and dressed, and their hair is brushed. I'm gonna drop them off.",MISMATCH
196,t(2)-e(3) | .. vs ...,లేదు. నేను బాగానే ఉన్నాను.,"No, no, no. I'm okay. I'm okay.",MISMATCH
201,t(3)-e(4) | ..? vs ...?,బాగానే ఉన్నాను. కేవలం చిన్న గాయం. నువ్వు ఇక్కడ ఏం చేస్తున్నావు?,Yeah. I'm fine. Just paper cut. What are you doing here?,MISMATCH
217,t(4)-e(5) | ..?. vs ..??.,"ఓహ్, అలాగే. చూశాను. హేయ్, పిల్లలు ఎక్కడ? పిల్లలు.","[Sylvia chuckles] , right. I see. Hey, where are the kids? Huh? The kids.",MISMATCH
