"Index","Telugu Text","Mapped English Text"
"1","అవును, నీ పేరు మళ్లీ చెప్పు. సారీ. ఆలిస్ సింక్లెయిర్. అయితే, నువ్వు చెప్పేదాని ప్రకారం, ఆలిస్, ఇది ఖచ్చితంగా సాయం కోరుతూ చేసిన కాల్ అంటావా... - లేదు, మేము అంటున్నది... - ...లేదా మీరు ఇంకా ఖచ్చితంగా చెప్పలేకపోతున్నారా? ఎందుకంటే అవి రెండు వేర్వేరు భిన్నమైన విషయాలు, ఆలిస్. మేము అనేది, నన్ను కాసేపు మాట్లాడనిస్తే, ఆ విమానం ప్రయాణమార్గం మళ్లడం ఇంకా అనుమానాస్పదమైన కమ్యూనికేషన్ల కారణంగా, కెఎ29 విమానం ప్రమాదంలో ఉందని చెప్పడానికి చాలా బలమైన కారణాలు కనిపిస్తున్నాయి. అనుమానాస్పదమైన కమ్యూనికేషన్లా? స్పందించకపోవడం, పైలెట్ చేసిన ప్రకటనలలో వైరుధ్యాలు ఉండటం, ఇప్పుడు ఈ సమయానికి, 8:07 గంటలకి, మాకు తెలిసిన సమాచారం ఇదే. కానీ మనం ఆందోళన పడటానికి ఇది సరిపోతుంది. నిజం, అయితే, నేను నా పై అధికారులకు చెప్పాలేమో? అవును, మా సలహా కూడా అదే. ఏమైనా సందేహాలు ఉంటే మిమ్మల్ని సంప్రదిస్తాం. అలాగే ఏదైనా సున్నితమైన సమాచారం ఉన్నా చెప్పండి. సరే. థాంక్యూ, ఆలిస్. సంతోషం.","Yeah, tell me your name again. Sorry. Alice... Alice Sinclair. So, you're saying, Alice, that this is a definite SOS call... - No. No, we're saying... - Or that you're still not sure? Because they both are two very different things, Alice. We're saying, if you let me speak, that due to its changing course and unusual communications, that there is a stronger chance than ever that flight KA29 is in danger. Unusual communications? Failure to respond, contradiction in statements made by the pilot, and as of whatever it is now, 8:07, that's all we've got. But it's enough to have us worried. Right, so... so, I'm taking this higher? Yeah, that would be our suggestion. Coming to you with any questions. Also very sensible. Okay. Thank you, Alice. You're welcome."
"2","- డ్యూటీ ఆఫీసర్ ఎక్కడ? - సరిగ్గా అటు వైపు. థాంక్స్.","- Where's the duty officer? - Right through. Thanks."
"3","సరే, మరి...","Okay, so..."
"4","మన జెటిఎసి డ్యూటీ ఆఫీసర్ ని కలవాలి. - జాహ్రా, నేను ఒక మీటింగ్ లో ఉన్నాను. - అది నాకు తెలుస్తోంది. - మార్నింగ్. - గుడ్ మార్నింగ్.","I need our JTAC duty officer. - Zahra, I'm in a meeting. - I can see that. - Morning. - Morning."
"5","- నువ్వు ఇప్పుడు చేసిన పని ఏంటో నీకు తెలుసా... - మన జెటిఎసి డ్యూటీ ఆఫీసర్ ఎక్కడ?","- Have you got any idea what you've just... - Our JTAC duty officer?"
"6","అతను పితృత్వ సెలవు మీద ఉన్నాడు. సరే. అయితే అతని విధులు చూస్తున్న వారు కావాలి... - నేనే చూస్తున్నాను. - ...మాట్లాడాలి...","Is on paternity leave. Right. Then I need whoever's covering... - Me. - To spea..."
"7","జెటిఎసిలో తోటి ఉద్యోగులతో మాట్లాడాలి. ఒక కాల్ లేదా మీటింగ్ ఏర్పాటు చేయాలి. బ్రిటీష్ ప్యాసింజర్ విమానాన్ని హైజాక్ చేశారని మాకు అనుమానాలు ఉన్నాయి అది మరో ఐదు గంటల్లో లండన్ చేరుకోవలసి ఉంది.","To speak to their colleagues at JTAC. Set up a call or a meeting. We have a suspected hijack of a British passenger plane due to arrive in London in five hours."
"8","ఇరాక్","**[NO ENGLISH MATCH FOUND]**"
"9","ఎవ్వరికీ ఆసక్తి లేదు. - ఇది ముఖ్యం. - ఎప్పుడూ కల్పించుకుంటావు.","Nobody's interested. - It's important. - You're always interfering."
"10","కూర్చో. ప్రమాదం కొని తెచ్చుకోకు. హేయ్, అంతా బాగానే ఉందా?","Sit. Don't make trouble. Hey. Is everything all right?"
