"Index","Telugu Text","Mapped English Text"
"4","అతను కనిపించాడా?","Did you find him?"
"5","బాగానే ఉన్నాడా?","Is he okay?"
"6","ఏంటి? ఏం జరిగింది?","What? What happened?"
"7","దేవుడా, లైటన్.","Jesus fucking Christ, Leighton."
"8","ఛ!","Fuck!"
"11","ఛ.","Fuck."
"13","జరిగిన దానికి నేను బాధ్యత వహిస్తాను.","I take the blame for what happened."
"14","నా మాట వింటున్నావా, జేసన్? జరిగిన దానికి నేను బాధ్యత వహిస్తాను.","You hear me, Jason? I take the blame for what happened."
"15","నువ్వు తిరిగి వచ్చావు, కానీ మేము అప్పటికి సిద్ధంగా లేము.","You came back, and we were not prepared."
"16","నువ్వు ఇంత అనారోగ్యంతో వస్తావని.","We were not prepared for you to be as."
"18","మేము ఊహించలేదు.","unwell as you are."
"19","నిన్ను ఆపడం నా ఉద్దేశం కాదు.","I don't wanna restrain you."
"20","కానీ నీకు నువ్వే ప్రమాదకరం అయినప్పుడు, మిగతా వారికీ నీ వల్ల హాని ఉన్నప్పుడు, ఈ పరిస్థితి మారదు.","But as long as you're a danger to yourself and others, this situation can't change."
"22","నువ్వు.","Did Did you."
"23","ఆ మహిళని డానియేలా అపార్ట్మెంట్ కి నువ్వే పంపించావా?","Did you send that woman to Daniela's apartment?"
"25","నువ్వు ఎంత మేధావివో నీకే గుర్తు చేయాలని మాత్రమే నేను ప్రయత్నిస్తున్నాను.","I am just trying to help you remember the brilliant man you are."
"26","ఇంకా నువ్వు సృష్టించిన ఈ అద్భుతమైన దానిని నీకు గుర్తు చేయాలని చూస్తున్నాను.","And this incredible thing you created."
"27","ఇంక చాలు.","Fuck off."
"29","థాంక్యూ.","Thank you."
"30","థాంక్యూ.","Thank you."
"32","ఇది ఏంటి?","what is this?"
"33","అది వైన్. ఆహ్ హా.","That's wine."
"34","నా దగ్గర రెండో సీసా ఉంది సరే.","I got a second bottle Okay."
"35","ఎందుకంటే ఇది చాలా బాగుంది.","'cause it was so nice."
"36","అవును, ఇది బాగుంది. గొప్పగా ఉంది.","Yeah, it was. It was great."
"37","దీని ఖరీదు కూడా వంద డాలర్లు.","It was also a hundred dollars."
"39","ఏంటి?","What?"
"40","చూడబోతే నువ్వు నాతో పడుకోవాలని చూస్తున్నట్లుంది.","Feels like you're trying to sleep with me."
"42","నేను ఖచ్చితంగా నీతో పడుకోవాలని ప్రయత్నిస్తున్నాను.","I am definitely trying to sleep with you."
"43","ఓహ్, అవునా? అవును.",", yeah? Yeah."
"44","సరే, కానీ, చూడు, పూర్తిగా సరసాలు ఆడటం అనేది, చాలా కాలం అయింది.","Okay, but the, you know, full seduction thing, it's been a minute."
"45","నన్ను తప్పుగా అనుకోకు, ఇది అద్భుతంగా ఉంది.","Don't get me wrong it's amazing."
"46","ఇలా చేస్తూ ఉండు, కానీ.","Keep doing it, but."
"47","హేయ్, హేయ్!","Hey, hey!"
"48","ఓహ్, దేవుడా. నేను ఇంక ఉండలేను.",", my God. I can't linger."
"49","మైక్ కారు తేవడానికి వెళ్ళాడు, నేను ఈ ప్రేమపక్షులని చూశాను","Mike is out getting our car, but I saw you two lovebirds."
"50","ఇంకా హాయ్ చెబుదామని వచ్చాను.","Aw. And wanted to come say hi."
"51","హాయ్. లేదు, నువ్వు వచ్చినందుకు సంతోషంగా ఉంది. నిన్ను కలవడం బాగుంది.","Hi. No, I'm glad you did. It's good to see you."
"52","అవును. రేపటి కోసం ఉద్వేగంగా ఎదురుచూస్తున్నా. రేపు.","Yeah. I'm so excited about tomorrow. Tomorrow."
"53","మేము ఏం తీసుకురావాలి? ఏమీ వద్దు. కేవలం మీ అందమైన వ్యక్తిత్వాలు చాలు.","What can we bring? Nothing. Just your beautiful selves."
"54","సరే, పరిపూర్ణంగా ఉంది. సరే. నిన్ను తరువాత కలుస్తాను. బై. బై.","Okay, perfection. All right. I'll see you later. Bye. Bye."
"55","సరే. కలుద్దాం.","Yeah. See ya."
"56","ఏంటి ఆమె.","What, , was."
"57","బార్బరా? అవును, బార్బరా.","Barbara? Yeah, Barbara."
"58","రేపు ఏం జరుగుతోంది? మన డిన్నర్ పార్టీ.","What What's going on tomorrow? Our dinner party."
"59","ఇంట్లోనా?","At the house?"
"60","అవును, మనం దాని గురించి మాట్లాడుకున్నాం.","Yeah, we talked about it."
"61","నువ్వు మర్చిపోయావు. అవును.","You forgot. Yeah."
"62","అవును, మర్చిపోయావు. లేదు ఆగు అవును.","Yeah, you did. No, no Hold Yes."
"63","అవును. అవును. అవును.","Yes. Yes. Yeah."
"64","ఎవరెవరు వస్తున్నారో మళ్లీ చెప్పు?","Who all is coming again?"
"66","ఆయన ఇప్పుడే మిమ్మల్ని కలుస్తారు.","He'll be right with you."
"67","ఇది మా తాతగారి ఆఫీస్.","This was my grandfather's office."
"68","ఆయన ఎలా వదిలి వెళ్లారో నేను అలాగే ఉంచేశాను.","Keep it exactly the way he left it."
"69","నేను డిటెక్టివ్ మేసన్.","I'm Detective Mason."
"70","లైటన్ వాన్స్. సంతోషం.","Leighton Vance. Pleasure."
"71","మీ కుటుంబం ఏవియేషన్ రంగంలో ఉందా?","Your family was in aviation?"
"72","ఆయన యాభై రెండేళ్ల కిందట వెలాసిటీ సంస్థని స్థాపించారు.","He founded Velocity 52 years ago."
"73","జెట్ ఇంజన్లని తయారు చేశారు.","Built jet engines."
"74","అది మీరు ఇంకా ఆయన కదా?","Is that you and him?"
"75","నా చిన్నతనంలోనే మా తల్లిదండ్రులు చనిపోయారు.","My parents died when I was young."
