"Index","Start Time","End Time","Telugu Text","Mapped English Text"
"1","00:00:41,458","00:00:43,919","**[NO TELUGU MATCH FOUND]**","[indistinct voices]"
"2","00:00:47,714","00:00:53,219","ఇది మీకు తెలిసిన విషయమే, మానవజాతి మంచు యుగంలో గ్లేసియర్లతో పాటు అభివృద్ధి చెందింది.","As you know, the human race grew up alongside glaciers during the Ice Ages."
"3","00:00:53,220","00:00:56,389","చలి మనలోని పురాతన చైతన్యాన్ని రగిలిస్తుంది.","The cold stimulates ancient nerves."
"4","00:00:56,390","00:00:59,476","అది మనకు ప్రపంచంతో ఉన్న మూలాధారమైన సంబంధం తెలిసేలా చేస్తుంది.","It makes you feel a primal connection to the world."
"5","00:01:00,394","00:01:06,817","మేము ఈ హోటల్ ని నిర్మించడానికి 300 టన్నులకు పైగా ఐసు వాడాం, అలాగే ఎంత మంచో తెలిసి అతిథులు ఆశ్చర్యపోతుంటారు.","We used over 300 tons of ice to create the hotel, and guests are surprised to know how much snow."
"6","00:01:07,317","00:01:09,068","దాదాపు 10,000 టన్నులకు పైనే.","Over 10,000 tons."
"7","00:01:09,069","00:01:10,904","వావ్, అది చాలా ఎక్కువ.","**[NO ENGLISH MATCH FOUND]**"
"8","00:01:09,069","00:01:11,422","**[NO TELUGU MATCH FOUND]**","[Helen] Wow, that's a lot. [chuckles]"
"9","00:01:11,446","00:01:14,032","అదృష్టవశాత్తూ, నార్వేలో మంచు, ఐసు పుష్కలంగా దొరుకుతుంది.","Luckily, Norway has plenty of snow and ice."
"10","00:01:16,451","00:01:26,837","ఈ దిబ్బలని మా నదులలో మంచు గడ్డకడుతున్నప్పుడు జాగ్రత్తగా సానబట్టి తయారు చేసాం, తర్వాత దగ్గరలోని గుహలో స్టోర్ చేయడానికి సేకరించాం.","These blocks were created by carefully smoothing the ice on our river as it freezes, then harvesting it for storage in a nearby cave."
"11","00:01:28,380","00:01:31,216","మీరు చూస్తున్న ప్రతీది వేసవిలో కరిగిపోతుంది.","Everything you see melts in summer."
"12","00:01:32,134","00:01:39,516","ప్రతీ ఏడాది దీన్ని తిరిగి నిర్మించడానికి వేర్వేరు కళాకారులు, నిపుణులు మాకు సహకరిస్తుంటారు, కాబట్టి ప్రతీ స్టే జీవితంలో నిజంగానే ఒక్కసారి మాత్రమే సాధ్యమయ్యేది అవుతుంది.","We have different artists and artisans help us build again each year, so every stay is truly once in a lifetime."
"13","00:01:40,225","00:01:41,602","ఇకపోతే ఇది మీ రూమ్.","And here we have your room."
"14","00:01:42,269","00:01:43,478","**[NO TELUGU MATCH FOUND]**","[lock clicks]"
"15","00:01:45,522","00:01:46,982","ద కోయ్ సూట్.","The Koi Suite."
"16","00:01:49,651","00:01:50,652","**[NO TELUGU MATCH FOUND]**","[Helen gasps]"
"17","00:01:52,112","00:01:54,573","వావ్. ఇక్కడ చాలా చల్లగా ఉంది.","Wow. Oh, it's brisk."
"18","00:01:55,616","00:01:58,911","మా గెస్ట్ సూట్లు హోటల్ లోని మిగతా ప్రదేశాల కంటే కొంచెం వెచ్చగా ఉంటాయి.","Our guest suites are slightly warmer than the rest of the hotel."
"19","00:01:59,411","00:02:01,205","దాదాపుగా సున్నాకు మూడు డిగ్రీల క్రింద.","About three degrees below zero."
"20","00:02:01,788","00:02:03,373","మరీ వేడిగా, లేదా మరీ చల్లగా కాకుండా.","Not too, too cold."
"21","00:02:04,082","00:02:06,710","ఒకసారి అలవాటు పడితే మీకే చాలా ఉత్తేజంగా అనిపిస్తుంది.","It's quite invigorating once you get used to it."
"22","00:02:06,710","00:02:07,961","**[NO TELUGU MATCH FOUND]**","[inhales sharply]"
"23","00:02:08,461","00:02:12,465","మేము మీకు ""సోమ్ ప్లోమెన్ ఐ ఎగ్గెహ్"" లాగ ఉంటుంది అంటాము.","[Bjorn] As we say, you will feel... som plommen I egget."
"24","00:02:12,466","00:02:14,050","ఒక గుడ్డులోని సొనలాగ.","Like a yolk in an egg."
"25","00:02:14,051","00:02:26,312","సరే, అది వినడానికి చాలా బాగుంది. సమ్... సమ్ ఫ్లూమెన్ ఐ ఎగ్గెన్? ఎగ్గెన్? భలే అన్నారు. ఈ చేపలను ఫేమస్ నార్వీజియన్ మంచు కళాకారుడు ఆండర్స్ స్క్జెగెస్టాడ్ రూడ్ స్వయంగా చెక్కాడు.","[Helen] Okay, that's adorable. Som... Som plommen I eggen? Eggen? -[Bjorn chuckles] That's very good. -[Carol inhales sharply] [Bjorn] These fish were hand-carved by famous Norwegian ice sculptor, Anders Skjeggestad Ruud."
